id,status,event_id,frequency,amplitude,phase,current_offset,v_start,v_end,temperature,added_at,cell_id_id
19,nec nisi volutpat eleifend donec,praesent lectus vestibulum,35205804.95,25.94,196.35,39.37,68.19,30.06,4754.87,2024-02-28T10:53:29Z,19
20,pretium iaculis justo in hac,congue vivamus metus,69756195.79,75.35,271.85,76.16,80.82,41.11,2683.65,2024-11-14T09:38:56Z,20
21,massa volutpat convallis,et tempus semper,87428205.45,52.63,262.23,17.47,19.01,57.2,719.47,2024-06-16T19:21:21Z,21
22,lobortis vel dapibus at,tempor turpis nec euismod scelerisque,30464587.68,60.11,306.95,94.79,92.85,23.19,975.66,2024-06-15T19:22:06Z,22
23,amet consectetuer adipiscing elit,quam sollicitudin vitae,35523878.45,40.79,76.67,56.93,91.73,89.95,2220.22,2025-01-28T04:51:47Z,23
24,sit amet eros,iaculis diam erat fermentum justo,98677472.65,74.16,64.1,78.93,39.13,67.85,-41.74,2024-09-05T13:52:17Z,24
25,dapibus at diam nam tristique,convallis duis consequat dui nec,8757975.94,76.82,164.87,31.94,39.26,69.84,5268.43,2024-08-07T04:47:54Z,25
26,pellentesque ultrices phasellus,in faucibus orci luctus,86440204.99,49.89,60.84,46.9,43.67,63.53,4520.38,2024-08-22T02:45:51Z,26
27,nam nulla integer pede,nisi venenatis tristique fusce congue,959490.4,58.41,109.21,82.07,3.69,40.83,2319.09,2025-01-27T19:24:04Z,27
28,accumsan odio curabitur convallis,lorem vitae mattis,75577533.4,91.25,225.03,15.94,14.28,78.75,4465.75,2024-10-01T01:36:05Z,28
29,suscipit nulla elit,lacinia eget tincidunt,37199609.11,18.27,168.76,37.16,45.59,66.61,2839.15,2024-07-17T07:34:14Z,29
30,consequat in consequat,fringilla rhoncus mauris enim leo,96151288.42,75.89,41.05,11.63,15.99,6.19,3256.45,2024-11-02T22:19:43Z,30
31,dictumst morbi vestibulum velit id,ante vivamus tortor,33747572.75,84.32,257.89,36.35,31.1,37.0,3088.12,2024-08-26T15:41:02Z,31
32,laoreet ut rhoncus aliquet,ultrices phasellus id sapien in,529570.0,71.23,237.9,5.65,6.22,72.32,3142.31,2024-11-05T09:21:37Z,32
33,orci nullam molestie nibh in,sapien a libero,95683107.37,1.13,2.2,17.42,62.62,25.27,5484.19,2025-01-11T10:35:18Z,33
34,sagittis dui vel nisl duis,nam nulla integer pede justo,82763076.55,62.97,9.8,89.5,34.24,2.42,-145.19,2024-07-01T02:54:07Z,34
35,morbi a ipsum integer,ante vel ipsum praesent,82593154.81,21.59,209.37,91.16,28.97,26.14,5173.38,2024-05-26T09:25:20Z,35
36,sit amet eros suspendisse accumsan,at lorem integer tincidunt ante,48935049.08,16.37,250.13,82.15,16.39,18.89,714.28,2024-06-28T19:48:42Z,36
37,sit amet consectetuer,velit eu est congue,4178355.22,55.87,142.71,33.94,7.69,75.04,3205.58,2024-07-23T23:19:15Z,37
38,sapien sapien non mi,integer aliquet massa,25620999.44,33.92,333.09,55.4,86.29,91.91,-105.91,2024-10-29T02:26:18Z,38
39,libero rutrum ac lobortis vel,mollis molestie lorem quisque ut,58918562.84,52.59,54.44,75.29,38.46,20.11,4658.85,2024-09-26T22:11:58Z,39
40,ligula vehicula consequat morbi a,luctus et ultrices posuere,68922040.45,32.23,1.15,24.43,43.91,70.85,684.11,2024-12-18T18:27:28Z,40
41,vivamus vestibulum sagittis sapien cum,sed magna at,87800253.58,76.01,131.61,61.29,72.04,22.28,3757.14,2024-05-07T04:07:50Z,41
42,vel augue vestibulum,justo sollicitudin ut suscipit,62436441.63,86.66,282.64,52.56,89.24,77.55,2793.2,2025-02-08T20:28:34Z,42
43,turpis integer aliquet massa,odio odio elementum eu,39314017.74,29.28,155.87,32.15,22.49,9.0,3351.44,2024-03-16T12:53:45Z,43
44,in lectus pellentesque,duis bibendum felis sed interdum,94065972.11,4.53,343.56,47.66,14.23,17.04,775.67,2024-12-31T04:30:46Z,44
45,sem fusce consequat,est lacinia nisi,9504235.57,6.2,31.28,95.45,54.15,36.7,4042.46,2024-07-03T02:14:39Z,45
46,lorem ipsum dolor sit,convallis eget eleifend,50489307.26,96.91,113.72,52.58,50.31,66.28,3027.85,2024-11-02T07:13:59Z,46
47,eu tincidunt in leo maecenas,lobortis est phasellus sit amet,3339467.12,74.31,256.44,28.33,43.0,51.64,-101.96,2024-02-24T15:45:34Z,47
48,nullam varius nulla facilisi,in tempus sit amet,365986.97,86.13,112.41,39.19,80.17,71.33,37.14,2024-04-14T14:41:47Z,48
49,sem sed sagittis,morbi non quam nec dui,88052290.6,26.19,240.57,47.81,41.1,96.79,508.7,2024-09-02T16:38:39Z,49
50,morbi non lectus aliquam,imperdiet et commodo,48830207.9,24.04,267.72,30.72,56.23,78.35,5011.3,2024-08-03T15:31:29Z,50
51,in leo maecenas,curae duis faucibus accumsan,4726453.87,85.08,190.34,80.3,73.36,97.83,737.16,2024-04-26T22:01:05Z,51
52,sed augue aliquam erat,quam fringilla rhoncus mauris enim,84275301.08,46.83,351.94,61.38,3.02,68.98,3822.22,2025-01-03T00:38:22Z,52
53,neque sapien placerat ante,bibendum imperdiet nullam orci pede,88040908.3,12.76,286.68,59.12,7.43,68.53,3100.29,2024-12-08T12:54:49Z,53
54,platea dictumst morbi,leo odio condimentum id luctus,53825989.28,52.65,291.02,28.72,54.56,72.92,2303.27,2024-03-13T21:58:24Z,54
55,quis augue luctus tincidunt,duis at velit eu est,78960905.02,24.56,264.95,24.02,48.77,73.81,445.94,2024-06-18T06:20:47Z,55
56,suspendisse potenti nullam porttitor lacus,pharetra magna ac consequat metus,30998992.46,95.89,85.25,42.86,55.64,33.57,4505.99,2024-12-02T15:14:13Z,56
57,at feugiat non,ridiculus mus etiam vel,54702341.52,38.55,27.61,87.01,93.82,84.93,2191.01,2024-03-04T08:22:15Z,57
58,pellentesque ultrices phasellus,in congue etiam justo etiam,51559866.62,51.16,229.73,72.67,82.44,97.5,849.27,2025-02-07T13:11:09Z,58
59,morbi a ipsum integer a,fusce posuere felis sed lacus,78638903.55,7.75,211.07,10.4,93.43,41.64,4064.44,2024-04-01T15:22:23Z,59
60,imperdiet sapien urna,urna ut tellus nulla ut,11398453.75,19.08,19.35,41.1,10.56,46.42,5572.25,2024-11-14T07:15:52Z,60
61,curabitur in libero,ipsum ac tellus semper interdum,99096599.76,40.72,57.08,37.52,14.98,53.56,496.62,2024-11-25T20:12:59Z,61
62,lorem ipsum dolor sit amet,vestibulum velit id,13424495.69,86.05,235.67,1.13,70.8,51.52,174.1,2024-11-09T03:08:08Z,62
63,ipsum primis in faucibus,accumsan tortor quis turpis,23993472.92,77.11,329.75,53.18,29.06,60.88,4730.76,2024-11-08T17:00:22Z,63
64,purus aliquet at,turpis adipiscing lorem,53796673.07,5.36,288.69,18.32,92.41,6.33,4697.38,2024-03-01T05:13:23Z,64
65,vehicula consequat morbi a ipsum,sagittis nam congue risus,51014858.05,84.78,15.03,74.96,69.63,65.99,5257.03,2024-10-05T07:28:01Z,65
66,consequat morbi a ipsum,hac habitasse platea,18320979.84,18.47,298.85,75.79,23.01,63.01,3001.08,2024-04-09T09:38:37Z,66
67,amet eleifend pede libero,facilisi cras non velit nec,65533424.65,32.39,65.88,30.19,24.4,37.08,178.31,2024-09-12T08:55:58Z,67
68,at feugiat non pretium,pede ullamcorper augue a suscipit,31023446.75,7.08,273.52,14.54,65.4,92.0,1353.37,2024-05-06T10:32:25Z,68
69,id nulla ultrices,morbi odio odio elementum eu,89669580.98,74.16,117.1,51.43,54.09,93.27,2327.21,2024-05-26T22:30:48Z,69
70,lacus curabitur at ipsum ac,non mattis pulvinar nulla,13418818.62,85.65,125.25,12.08,8.45,75.17,1701.55,2024-12-30T03:34:20Z,70
71,ut at dolor,in lectus pellentesque at,59625261.22,69.91,160.48,60.21,73.35,36.51,3760.06,2024-06-23T02:53:30Z,71
72,ac leo pellentesque ultrices mattis,felis sed lacus morbi,36420870.21,11.47,105.8,55.44,42.76,57.64,2362.35,2025-02-06T07:09:23Z,72
73,erat vestibulum sed magna at,ultrices mattis odio donec,14321366.74,1.72,255.84,68.15,68.72,57.35,2239.56,2024-07-26T03:39:13Z,73
74,felis eu sapien,dolor vel est donec,56706634.96,52.1,94.92,95.98,88.32,1.4,5063.5,2024-11-07T14:41:18Z,74
75,est lacinia nisi,ullamcorper augue a,90978913.92,61.01,250.78,0.41,65.39,61.83,5167.09,2024-12-16T03:20:16Z,75
76,suspendisse accumsan tortor quis,est donec odio,25153284.26,83.02,144.83,26.09,47.97,5.28,4899.11,2024-12-14T01:09:32Z,76
77,pede ac diam,turpis sed ante vivamus,41923032.21,81.14,340.62,77.07,12.38,32.4,1917.52,2024-06-11T02:26:45Z,77
78,eget congue eget,pede ac diam cras pellentesque,29409566.8,82.14,305.28,13.13,99.75,45.74,2149.49,2024-08-23T00:31:16Z,78
79,sapien cum sociis natoque penatibus,elit proin interdum mauris non,64450519.18,14.47,77.56,92.81,23.79,89.83,1845.87,2024-12-05T22:17:09Z,79
80,leo rhoncus sed vestibulum,quam fringilla rhoncus,71165454.82,29.92,119.56,73.64,53.67,56.2,3641.56,2024-05-05T15:22:31Z,80
81,vel enim sit,dui maecenas tristique est et,10161061.18,37.03,350.01,66.77,10.25,99.77,5144.11,2025-02-08T04:37:37Z,81
82,suspendisse accumsan tortor,nisi venenatis tristique fusce congue,89845545.26,58.18,153.34,34.73,31.34,28.75,4055.97,2024-12-09T11:57:24Z,82
83,interdum mauris non ligula pellentesque,at vulputate vitae,71133798.69,62.74,318.6,11.7,60.74,5.32,1865.27,2024-06-18T02:05:43Z,83
84,id ornare imperdiet sapien,non mi integer ac neque,18716656.51,0.1,182.5,37.62,38.71,71.89,2844.31,2024-08-26T02:41:51Z,84
85,odio elementum eu interdum eu,id ligula suspendisse,76155886.34,23.93,90.49,10.13,41.19,70.55,-71.03,2024-08-14T03:12:06Z,85
86,ipsum dolor sit,at velit vivamus vel,79040508.9,56.48,294.03,72.63,10.68,8.5,5526.21,2024-08-14T15:51:54Z,86
87,nunc purus phasellus,convallis duis consequat dui,74497673.89,61.8,333.24,13.87,64.36,46.5,3134.18,2024-03-01T07:41:55Z,87
88,ligula in lacus curabitur,vulputate nonummy maecenas tincidunt lacus,54122129.13,80.51,125.23,29.78,23.78,23.95,1697.01,2024-10-19T19:13:06Z,88
89,nam ultrices libero,vulputate elementum nullam varius,18265204.64,7.13,32.95,55.2,12.29,50.94,3063.29,2025-02-08T19:38:08Z,89
90,eu sapien cursus,pede morbi porttitor lorem id,80810301.29,22.54,290.35,81.57,56.5,64.45,1741.75,2024-08-09T01:32:51Z,90
91,maecenas tincidunt lacus at,ut erat id,44983679.49,55.82,334.77,36.87,71.23,90.3,2561.53,2025-02-01T11:05:51Z,91
92,lacus purus aliquet at feugiat,nulla ultrices aliquet maecenas,80835822.17,92.5,193.1,1.93,94.86,16.62,344.64,2024-04-21T08:36:08Z,92
93,congue vivamus metus arcu adipiscing,sollicitudin vitae consectetuer eget rutrum,38806481.95,73.62,154.09,4.1,10.93,9.86,4648.19,2024-08-17T10:09:06Z,93
94,libero non mattis pulvinar,sed augue aliquam erat,73691421.78,86.28,100.54,9.92,74.87,67.64,4065.81,2024-05-26T03:26:52Z,94
95,lectus aliquam sit amet diam,velit vivamus vel nulla eget,10884353.9,48.49,35.56,22.5,75.18,57.68,2005.37,2024-07-29T02:48:51Z,95
96,vel enim sit amet,ut nunc vestibulum,26661725.01,85.08,174.27,90.91,10.24,97.27,496.68,2024-11-18T17:30:18Z,96
97,libero nam dui proin,leo rhoncus sed,16546119.71,45.73,193.88,45.92,3.61,74.31,4105.33,2024-05-25T09:09:23Z,97
98,vitae ipsum aliquam non,integer ac leo pellentesque,73057583.42,16.76,145.86,90.02,47.48,18.87,1149.31,2024-10-31T15:16:27Z,98
99,ligula vehicula consequat,blandit non interdum in,60382085.01,78.57,287.75,71.86,60.33,35.81,445.33,2024-05-26T09:25:58Z,99
100,orci luctus et ultrices,nulla suscipit ligula,81424552.64,28.0,39.6,22.76,49.99,36.39,5430.54,2025-01-25T21:52:37Z,100
101,felis donec semper sapien,lorem integer tincidunt,31818908.46,63.59,122.33,78.37,50.02,9.67,5064.24,2024-03-14T01:03:23Z,101
102,hac habitasse platea dictumst maecenas,etiam faucibus cursus urna,17660135.13,86.22,141.2,6.52,63.89,67.74,5398.29,2024-03-07T05:36:04Z,102
103,amet lobortis sapien,integer a nibh in,73184622.59,14.06,177.29,71.43,1.84,24.38,1896.25,2024-05-05T18:06:56Z,103
104,nec molestie sed justo pellentesque,maecenas rhoncus aliquam lacus,17956267.71,8.41,333.15,88.79,62.9,90.64,4857.27,2024-06-20T02:40:54Z,104
105,donec ut dolor morbi,a suscipit nulla,27231655.41,91.92,244.58,27.54,45.6,4.44,-213.75,2025-01-24T02:39:18Z,105
106,vivamus metus arcu adipiscing molestie,arcu adipiscing molestie hendrerit,1952754.76,47.4,253.04,33.26,52.8,69.81,1952.23,2024-12-31T20:17:35Z,106
107,id consequat in,vel lectus in quam fringilla,76083623.64,34.06,251.59,55.36,80.43,23.38,2076.97,2024-11-26T09:34:09Z,107
108,lacus morbi sem,donec ut dolor morbi,39518580.93,61.06,264.91,49.17,77.01,35.09,3079.83,2024-05-24T04:17:37Z,108
109,adipiscing molestie hendrerit,lobortis ligula sit,3600810.82,13.11,121.0,71.0,87.22,60.2,3225.62,2024-05-05T03:46:17Z,109
110,malesuada in imperdiet et,amet erat nulla tempus vivamus,67891019.14,1.96,226.14,85.98,93.16,47.79,2119.24,2024-02-13T17:35:57Z,110
111,ipsum primis in faucibus orci,aliquet at feugiat,47059469.47,40.31,230.52,62.88,20.62,71.57,5231.12,2024-12-18T20:54:16Z,111
112,bibendum morbi non,lacus morbi sem mauris,24848270.03,39.92,38.21,54.06,2.37,83.81,4352.63,2024-12-21T08:09:47Z,112
113,id mauris vulputate elementum,interdum venenatis turpis enim blandit,47823843.64,27.86,267.62,56.13,3.28,28.19,1341.62,2024-11-22T15:49:28Z,113
114,augue quam sollicitudin vitae,risus auctor sed tristique,73112753.55,39.3,152.14,89.06,33.0,31.46,1565.24,2024-06-12T12:27:12Z,114
115,magna vulputate luctus cum,non velit nec nisi vulputate,41801465.56,20.55,29.59,60.91,35.61,86.84,4867.33,2024-04-01T02:03:24Z,115
116,porttitor lacus at,velit vivamus vel nulla,87646042.92,11.41,226.41,14.5,2.72,94.73,4544.34,2025-01-29T00:03:30Z,116
117,sem sed sagittis,metus sapien ut nunc vestibulum,43022893.07,38.59,46.62,79.47,63.14,89.81,2141.42,2024-08-30T20:28:29Z,117
118,nibh in quis,nulla pede ullamcorper augue,93297254.82,46.66,22.17,80.92,7.38,53.01,2734.87,2024-03-11T12:10:12Z,118
119,pellentesque ultrices phasellus,odio odio elementum eu,3013666.46,87.92,354.13,73.93,74.33,80.47,2833.82,2024-12-21T20:39:15Z,119
120,id mauris vulputate elementum nullam,ipsum praesent blandit,37551980.75,7.19,117.96,78.29,31.48,78.22,1781.07,2024-09-07T21:11:08Z,120
121,quis turpis eget,ac lobortis vel,89310010.9,7.6,27.12,70.49,36.27,69.41,2933.59,2024-09-21T07:13:28Z,121
122,ut volutpat sapien arcu,ut volutpat sapien arcu sed,10706343.32,55.5,316.61,10.86,74.68,6.89,1331.21,2025-01-03T22:17:19Z,122
123,cubilia curae mauris viverra,in sapien iaculis congue vivamus,79159903.66,65.78,106.88,55.15,69.37,92.77,5127.0,2024-05-01T03:07:11Z,123
124,quis tortor id nulla,vestibulum ante ipsum,29553171.79,18.65,209.87,31.01,54.56,20.63,55.63,2025-01-24T05:53:17Z,124
125,vivamus vel nulla eget,at lorem integer,78879299.31,47.27,63.34,55.28,53.46,40.38,839.36,2024-05-16T18:32:15Z,125
126,sit amet eleifend pede libero,in purus eu magna vulputate,84006036.38,87.37,118.16,73.99,2.93,73.24,170.37,2024-06-08T07:10:18Z,126
127,posuere nonummy integer non,non mauris morbi,36319880.42,62.51,315.37,80.2,95.46,50.55,3349.09,2024-07-28T21:57:16Z,127
128,erat nulla tempus vivamus in,vel lectus in quam,18494600.56,21.94,119.38,8.54,95.53,60.18,-91.53,2024-09-07T08:46:33Z,128
129,ut erat id,vivamus metus arcu adipiscing,61768990.97,23.85,329.02,7.93,92.51,79.6,3674.43,2024-07-09T10:30:09Z,129
130,quis orci nullam molestie nibh,luctus cum sociis natoque,10444364.51,79.6,239.82,81.47,9.33,34.79,3998.72,2024-06-22T09:20:16Z,130
131,nam nulla integer,fusce posuere felis sed lacus,47116198.21,80.9,330.8,3.58,55.17,81.27,66.64,2024-04-23T13:19:55Z,131
132,ut blandit non interdum,ligula pellentesque ultrices,26656047.41,49.52,118.53,59.28,71.79,3.69,941.14,2024-04-03T10:45:29Z,132
133,odio consequat varius integer ac,duis at velit eu,38187235.46,69.37,345.33,46.74,58.78,53.5,1822.98,2025-01-20T13:37:56Z,133
134,felis ut at,sed tincidunt eu felis fusce,26730335.06,90.14,248.53,12.91,24.97,74.96,1839.16,2024-09-13T15:41:03Z,134
135,eu magna vulputate luctus cum,sollicitudin ut suscipit a feugiat,2820734.06,54.95,118.94,26.18,65.96,45.42,2923.2,2024-06-24T18:15:17Z,135
136,lorem ipsum dolor sit,vulputate luctus cum sociis natoque,16714391.11,38.14,0.1,1.06,78.73,52.78,4257.61,2024-10-07T16:25:41Z,136
137,justo sollicitudin ut,id turpis integer,414281.97,53.1,162.14,57.0,67.62,58.43,1226.4,2025-02-01T23:07:57Z,137
138,arcu adipiscing molestie,sapien varius ut blandit,54590465.2,33.72,36.33,5.99,81.13,86.48,801.58,2024-06-30T20:21:04Z,138
139,lacinia eget tincidunt eget,nisl nunc rhoncus dui vel,9447382.59,16.03,136.29,31.27,58.23,78.67,87.1,2024-08-12T17:59:12Z,139
140,vehicula condimentum curabitur,ante ipsum primis in faucibus,53968568.97,77.5,252.73,77.3,99.61,82.23,4948.78,2024-04-03T23:38:58Z,140
141,iaculis justo in hac habitasse,rhoncus aliquet pulvinar sed nisl,35325388.62,14.74,68.86,14.68,4.9,49.66,4714.31,2024-12-19T04:52:27Z,141
142,eleifend donec ut dolor,eu est congue elementum,42674639.37,66.11,92.43,29.21,48.33,61.84,4724.74,2024-10-10T01:26:24Z,142
143,diam in magna bibendum,sapien arcu sed augue,32030213.97,62.59,221.12,82.05,66.63,0.69,4094.82,2024-05-28T20:50:00Z,143
144,luctus et ultrices posuere,eget massa tempor,31392499.93,53.94,324.79,42.61,11.55,47.29,1501.35,2024-09-17T00:26:38Z,144
145,posuere cubilia curae,odio odio elementum eu,35000249.91,42.34,218.09,44.08,1.29,62.21,2145.07,2024-07-24T03:35:24Z,145
146,in faucibus orci luctus et,luctus et ultrices posuere,24850833.49,5.37,47.61,75.8,15.45,41.22,1553.47,2024-10-27T04:34:12Z,146
147,nulla ultrices aliquet,eu felis fusce posuere,26804410.48,89.9,335.68,76.76,85.58,40.37,589.48,2024-09-28T06:48:26Z,147
148,nec nisi volutpat eleifend donec,venenatis non sodales,27029467.75,97.63,187.8,27.61,91.35,45.79,4972.97,2024-06-07T18:19:21Z,148
149,faucibus orci luctus,quis libero nullam,74885107.73,34.7,266.43,24.13,84.75,41.2,-109.78,2024-06-24T17:52:56Z,149
150,habitasse platea dictumst etiam,ac consequat metus sapien ut,742825.56,18.29,19.99,54.75,7.72,20.79,4100.89,2024-07-01T08:10:15Z,150
151,tempor turpis nec,vestibulum sed magna at,49987712.03,59.0,87.73,52.38,36.34,18.95,-202.93,2024-03-10T04:58:24Z,151
152,morbi quis tortor id,aliquam erat volutpat in congue,86648637.38,99.0,326.52,80.56,34.96,38.41,1106.22,2024-05-03T12:13:12Z,152
153,ut massa volutpat,mi sit amet lobortis,42745891.69,30.54,26.28,20.6,69.42,95.95,4222.25,2024-06-19T13:02:47Z,153
154,blandit non interdum,aenean auctor gravida sem praesent,83116334.51,82.54,242.86,16.26,79.34,27.73,3778.22,2024-12-18T07:36:38Z,154
155,ante vestibulum ante ipsum,odio consequat varius integer,36611120.51,21.92,120.74,13.07,16.25,6.32,5265.77,2025-02-03T14:30:29Z,155
156,in lacus curabitur,quisque ut erat curabitur gravida,65744780.04,24.78,104.09,86.48,2.0,42.38,5041.64,2024-03-07T22:21:52Z,156
157,cubilia curae donec,quis lectus suspendisse potenti,61459956.12,25.9,270.82,79.74,39.32,69.34,4556.22,2024-04-16T23:32:28Z,157
158,penatibus et magnis,congue elementum in hac,73238266.7,56.88,153.43,76.27,32.83,28.9,4336.72,2024-12-27T19:24:52Z,158
159,amet eleifend pede libero quis,non velit donec diam,31172655.45,50.52,179.11,34.82,38.78,84.7,2695.28,2024-08-14T22:23:18Z,159
160,vestibulum vestibulum ante ipsum primis,tellus semper interdum mauris ullamcorper,98485845.35,64.46,196.22,22.65,1.74,46.65,4617.94,2024-12-09T13:41:53Z,160
161,parturient montes nascetur,ipsum primis in faucibus,14817840.97,11.67,212.72,63.68,95.28,86.88,1106.17,2024-10-18T18:07:01Z,161
162,eleifend donec ut dolor,in imperdiet et commodo vulputate,18319894.59,23.23,195.74,67.0,2.18,59.84,1393.28,2025-01-23T10:57:00Z,162
163,quisque ut erat curabitur,semper sapien a,75689264.45,31.69,174.46,85.3,89.78,9.68,5159.69,2025-01-10T18:15:49Z,163
164,fusce lacus purus aliquet at,tincidunt in leo maecenas pulvinar,81299044.78,52.62,278.18,68.22,97.36,47.0,4.08,2024-11-27T08:31:22Z,164
165,morbi odio odio elementum,in consequat ut,33394363.97,93.25,261.01,40.93,45.67,46.13,4412.12,2024-09-01T04:40:25Z,165
166,at turpis a pede posuere,ut nunc vestibulum,25141512.03,75.43,274.82,15.18,44.56,88.85,902.0,2024-09-08T22:59:14Z,166
167,massa id nisl venenatis,proin leo odio,31194108.76,96.21,265.05,19.38,60.4,51.36,1258.44,2024-03-02T22:09:14Z,167
168,eleifend luctus ultricies eu,cum sociis natoque penatibus,64918291.28,52.92,233.24,87.57,26.51,51.62,944.0,2024-12-25T18:28:32Z,168
169,curae nulla dapibus dolor vel,eget nunc donec,2447646.96,26.0,35.29,92.38,84.83,33.89,5084.37,2024-11-12T18:54:33Z,169
170,at turpis a,ultrices posuere cubilia curae donec,31589530.22,57.74,242.33,68.12,4.29,1.9,676.01,2024-08-13T05:51:22Z,170
171,metus sapien ut nunc,odio elementum eu,5130784.94,92.39,308.83,67.51,18.45,18.73,651.28,2024-08-30T17:18:22Z,171
172,dui luctus rutrum,integer non velit donec diam,35675914.75,5.5,170.18,8.6,49.31,42.13,3910.27,2024-03-16T07:41:25Z,172
173,ipsum primis in faucibus orci,lorem vitae mattis nibh ligula,25141209.16,74.19,295.15,77.05,3.71,53.57,5481.82,2025-01-18T02:33:46Z,173
174,eu orci mauris lacinia,viverra eget congue eget semper,93710589.19,71.22,278.54,33.64,4.78,88.35,5164.44,2024-04-18T21:47:14Z,174
175,at ipsum ac tellus semper,tortor duis mattis egestas metus,426042.46,91.94,255.23,8.2,5.7,96.27,568.89,2024-10-21T09:14:28Z,175
176,porttitor pede justo eu,in imperdiet et commodo,44367081.51,8.63,303.6,75.28,97.06,12.08,2575.3,2024-10-15T21:45:30Z,176
177,montes nascetur ridiculus,vehicula consequat morbi,41104290.88,78.66,238.91,74.58,44.4,67.06,3322.75,2025-01-15T06:50:42Z,177
178,eros viverra eget congue eget,ac nulla sed vel enim,28367002.2,29.14,114.26,66.26,22.4,98.32,205.43,2024-10-19T14:24:58Z,178
179,in hac habitasse,quis tortor id nulla,79112642.84,43.6,189.63,58.33,43.57,67.53,1617.4,2024-06-28T19:13:39Z,179
180,sapien in sapien,congue elementum in hac,31297507.59,79.31,145.76,57.75,83.58,71.18,4291.02,2024-08-17T13:08:06Z,180
181,morbi non quam nec dui,dui maecenas tristique,8160417.45,76.83,167.51,23.02,41.21,1.57,2975.16,2024-02-25T15:11:25Z,181
182,ipsum primis in faucibus orci,sem duis aliquam convallis nunc,30159797.71,40.42,53.26,84.13,44.23,4.99,5469.9,2024-09-08T07:32:53Z,182
183,odio porttitor id,dui proin leo odio porttitor,53851802.11,19.72,188.7,7.77,47.79,60.33,3554.07,2024-04-16T04:40:06Z,183
184,lacus at turpis,est phasellus sit amet,47134121.97,47.54,137.17,78.44,64.72,86.26,479.25,2024-08-30T04:39:44Z,184
185,quam sapien varius ut,praesent blandit nam,23564121.66,14.92,180.3,38.49,78.52,74.87,4462.13,2024-05-10T03:53:31Z,185
186,leo rhoncus sed,quam pede lobortis,15531862.08,95.58,249.68,34.42,71.82,86.46,270.08,2025-02-09T16:12:15Z,186
187,magna ac consequat metus sapien,non interdum in ante vestibulum,56242103.24,30.48,158.43,2.89,15.47,81.44,2395.32,2024-05-03T17:51:38Z,187
188,duis faucibus accumsan,potenti in eleifend quam,13446415.13,1.15,198.22,23.75,44.62,88.24,5266.23,2024-04-13T11:14:28Z,188
