id,voltage,temperature,current,sot,phase,soc,added_at,cell_id_id
79,377.37,-7.75,89.36,3.89,183.92,57.09,9/28/2022 13:57:24,79
80,611.19,27.7,65.42,78.23,215.2,65.15,10/5/2022 12:48:20,80
81,439.77,-17.25,56.09,69.02,27.91,13.52,11/14/2022 22:59:17,81
82,861.49,-13.19,99.69,63.8,270.94,70.95,8/25/2022 01:28:04,82
83,420.26,-15.56,95.14,73.07,175.29,50.37,12/1/2022 06:38:04,83
84,165.47,-36.16,12.09,13.42,132.68,57.98,2/21/2022 01:36:12,84
85,911.01,31.26,99.0,73.35,358.4,5.14,6/19/2022 06:39:17,85
86,365.91,46.92,31.91,52.82,221.24,99.23,8/19/2022 13:23:19,86
87,154.17,34.78,12.74,84.05,326.47,36.48,11/18/2022 07:31:54,87
88,150.49,-6.14,8.16,98.84,120.0,44.21,3/3/2022 14:01:55,88
89,892.57,-45.3,42.74,29.48,68.04,1.65,7/18/2022 23:14:00,89
90,795.32,-10.33,89.5,22.55,238.13,52.75,2/11/2022 03:53:31,90
91,324.38,43.87,57.77,9.04,229.34,94.76,4/24/2022 10:00:00,91
92,884.04,0.57,91.86,52.05,218.03,30.72,7/23/2022 02:40:36,92
93,431.81,-39.98,43.7,39.32,332.66,58.54,4/28/2022 02:00:55,93
94,194.73,26.8,11.64,37.45,203.05,5.77,3/18/2022 17:32:25,94
95,806.9,11.93,61.8,80.58,139.78,92.07,6/6/2022 09:38:38,95
96,454.21,47.63,51.16,26.52,244.4,30.97,1/14/2022 15:41:11,96
97,434.01,-10.32,48.81,83.02,336.07,55.85,12/18/2022 16:04:54,97
98,402.37,38.55,17.05,17.23,110.15,76.47,2/27/2022 22:23:23,98
99,680.7,26.56,32.63,18.92,242.27,32.8,4/7/2022 01:04:34,99
100,262.81,-39.6,6.9,24.56,279.85,38.82,10/19/2022 22:39:18,100
101,856.43,35.85,11.15,56.53,188.13,0.23,7/2/2022 17:37:48,101
102,185.16,40.8,91.87,15.37,69.59,1.95,3/20/2022 20:58:00,102
103,753.44,6.08,41.49,26.08,191.4,0.23,1/21/2022 21:13:21,103
104,148.43,13.48,71.84,37.77,322.32,59.08,6/18/2022 02:03:04,104
105,768.35,-12.11,19.16,24.96,172.22,89.02,9/10/2022 21:54:47,105
106,442.38,-22.18,22.22,87.88,114.41,87.17,11/13/2022 21:48:07,106
107,594.48,-1.97,70.73,29.08,186.52,74.97,3/14/2022 01:35:45,107
108,549.22,20.98,61.17,92.22,332.86,41.14,6/12/2022 20:38:26,108
109,209.57,36.84,12.87,33.91,292.45,10.05,7/8/2022 05:46:30,109
110,203.66,46.32,41.72,26.8,145.96,0.42,9/21/2022 02:42:44,110
111,779.5,-15.87,24.56,20.4,180.32,7.97,5/13/2022 23:23:22,111
112,462.27,24.18,61.33,4.39,198.6,34.27,11/23/2022 05:14:13,112
113,84.33,40.58,37.28,80.46,11.54,71.68,7/15/2022 12:55:37,113
114,488.45,-34.69,97.33,16.34,189.05,91.92,3/9/2022 16:10:31,114
115,389.83,13.62,35.24,2.82,251.66,29.65,9/7/2022 01:35:07,115
116,658.89,-4.83,11.61,41.83,229.04,28.22,2/18/2022 22:18:38,116
117,618.96,-23.42,46.15,44.11,283.39,56.1,3/7/2022 13:46:34,117
118,877.11,-30.3,42.79,33.8,62.22,48.52,4/16/2022 18:43:12,118
119,220.55,-1.82,30.39,32.93,280.89,92.92,9/22/2022 15:38:45,119
120,437.62,19.02,85.5,52.49,333.8,38.06,10/7/2022 15:16:01,120
121,317.6,2.38,82.88,44.67,183.98,27.51,2/2/2022 18:56:54,121
122,746.58,-28.13,95.74,59.08,90.96,21.72,3/30/2022 22:52:18,122
123,347.77,4.5,89.02,79.38,39.75,96.27,7/31/2022 18:22:49,123
124,31.92,-25.79,13.82,32.21,128.99,71.01,7/9/2022 15:32:20,124
125,908.77,-7.85,13.27,19.18,330.41,86.28,7/29/2022 02:15:33,125
126,622.53,-23.0,3.1,75.5,1.32,21.45,5/26/2022 14:06:47,126
127,351.96,41.44,30.32,41.57,294.77,59.87,1/14/2022 00:17:35,127
128,395.32,8.86,84.18,85.83,182.55,96.7,8/5/2022 01:37:26,128
129,334.33,-16.08,16.01,61.85,77.82,75.73,10/5/2022 08:41:11,129
130,617.96,-12.21,27.03,50.97,287.64,9.7,11/16/2022 18:15:34,130
131,830.88,-10.04,33.04,7.67,144.0,56.19,4/15/2022 02:02:23,131
132,573.83,40.44,44.7,97.05,117.08,52.26,5/7/2022 18:02:05,132
133,896.07,45.65,87.76,28.5,73.79,94.49,3/23/2022 13:18:13,133
134,861.45,39.69,2.59,36.47,201.75,28.82,2/10/2022 17:14:13,134
135,430.5,-25.08,50.06,7.36,20.53,31.33,5/13/2022 21:33:25,135
136,782.41,24.15,8.47,67.77,347.38,63.37,10/4/2022 22:04:35,136
137,843.13,7.84,52.38,19.82,257.18,16.29,2/5/2022 13:51:45,137
138,84.89,49.76,5.18,23.82,106.22,59.1,9/12/2022 08:33:19,138
139,172.1,-16.12,54.73,27.08,359.05,38.96,3/7/2022 04:58:23,139
140,658.72,-12.42,98.11,81.64,322.3,97.68,6/15/2022 13:42:28,140
141,984.59,-11.75,27.03,97.57,245.84,32.02,3/2/2022 11:57:42,141
142,541.62,17.11,56.7,72.2,13.16,58.46,5/21/2022 13:48:36,142
143,997.64,-14.3,44.95,73.44,111.33,77.15,7/12/2022 11:33:05,143
144,917.27,-21.9,29.69,9.01,88.86,56.81,7/16/2022 04:58:42,144
145,626.95,-22.16,20.26,6.31,321.25,91.23,5/1/2022 15:04:05,145
146,851.92,24.18,5.65,89.98,156.39,34.48,8/8/2022 05:35:57,146
147,109.06,21.39,0.5,62.93,127.04,35.21,2/17/2022 12:31:16,147
148,49.96,-6.79,6.83,20.18,36.5,15.7,6/23/2022 15:37:24,148
149,905.72,38.46,7.01,27.64,34.52,89.23,11/23/2022 17:30:28,149
150,450.69,27.7,67.9,44.72,247.99,85.68,3/22/2022 13:51:44,150
151,29.0,-16.4,33.04,60.78,315.72,26.53,2/7/2022 17:48:31,151
152,388.19,44.97,35.54,93.21,311.47,60.84,12/14/2022 22:10:20,152
153,373.17,-45.59,56.93,77.34,301.16,66.77,4/3/2022 06:39:36,153
154,144.91,47.63,17.61,42.0,76.43,5.94,9/27/2022 20:58:32,154
155,602.94,19.43,74.24,4.74,291.62,98.96,5/12/2022 02:28:29,155
156,495.2,36.85,93.2,25.69,337.02,94.38,1/31/2022 03:41:09,156
157,344.54,1.37,42.4,53.63,113.49,76.05,10/24/2022 08:49:46,157
158,562.05,13.81,94.94,85.9,257.45,32.91,2/15/2022 04:19:31,158
159,206.72,36.93,56.5,95.88,58.55,19.46,2/9/2022 15:34:20,159
160,34.68,16.14,1.33,58.22,184.95,49.17,6/16/2022 21:44:24,160
161,303.18,6.84,3.44,23.27,275.63,0.55,10/30/2022 05:44:07,161
162,922.53,-39.55,39.17,99.61,161.35,80.22,1/24/2022 02:00:30,162
163,31.55,-11.22,0.8,32.25,160.39,37.26,8/4/2022 06:06:38,163
164,74.28,-25.26,51.68,74.26,352.32,73.51,2/4/2022 02:35:34,164
165,176.22,38.03,79.06,59.39,288.11,94.16,2/10/2022 01:06:11,165
166,795.47,34.29,62.48,68.76,84.17,9.27,4/7/2022 06:24:09,166
167,884.88,30.64,47.42,45.9,165.49,30.46,1/6/2022 18:25:42,167
168,837.52,-15.3,2.65,47.18,201.07,9.35,2/4/2022 15:47:34,168
169,196.46,26.81,79.93,8.74,41.94,47.19,1/12/2022 12:52:27,169
170,654.04,-46.65,13.26,0.33,221.13,94.09,3/15/2022 10:21:57,170
171,80.18,-32.45,2.32,89.7,3.76,71.23,12/22/2022 17:23:05,171
172,339.42,43.58,43.7,72.9,212.29,24.51,7/31/2022 22:01:26,172
173,106.18,7.41,96.18,23.17,173.24,84.09,2/25/2022 08:14:43,173
174,868.76,43.36,99.23,79.46,306.89,16.41,8/2/2022 07:15:23,174
175,514.6,46.8,19.37,2.52,299.94,30.26,8/15/2022 18:19:31,175
176,816.66,-33.85,51.82,91.07,40.61,48.28,7/7/2022 05:39:36,176
177,900.07,-36.43,62.62,89.42,163.66,88.95,6/30/2022 11:38:46,177
178,52.71,31.28,32.41,26.53,57.27,81.57,3/29/2022 10:24:39,178
179,8.47,7.35,49.34,36.64,254.22,46.51,1/30/2022 12:55:20,179
180,920.29,-11.33,15.14,86.26,8.02,30.3,3/10/2022 08:47:03,180
181,925.1,-47.3,26.46,86.51,350.62,65.06,3/16/2022 19:26:10,181
182,575.42,-31.85,67.87,17.78,149.5,62.59,3/2/2022 17:36:28,182
183,663.64,24.13,88.5,77.23,167.9,62.3,7/13/2022 14:03:06,183
184,385.17,-15.74,94.4,15.59,337.56,26.9,3/27/2022 22:13:07,184
185,776.29,19.13,59.57,81.71,170.24,88.46,3/15/2022 05:16:48,185
186,403.61,6.2,50.31,2.32,18.68,80.65,5/31/2022 04:16:30,186
187,244.35,23.6,23.31,4.2,195.51,95.73,7/18/2022 07:05:38,187
188,483.0,-46.38,99.87,75.37,65.43,57.55,11/16/2022 07:44:56,188
189,652.33,17.24,33.57,26.66,90.88,61.06,7/22/2022 07:25:43,189
190,330.83,-0.29,99.24,79.75,320.36,93.37,10/3/2022 11:14:49,190
191,649.76,7.27,49.92,99.34,199.37,31.26,2/6/2022 06:34:23,191
192,46.77,42.6,12.39,90.45,10.15,97.94,8/12/2022 16:37:27,192
193,670.35,-23.34,16.25,45.87,156.51,38.66,8/14/2022 23:58:20,193
194,123.32,5.39,75.2,86.31,335.62,59.97,5/27/2022 13:57:46,194
195,762.79,4.66,97.83,53.43,344.7,17.96,4/6/2022 18:48:40,195
196,477.94,13.58,32.34,9.93,106.88,28.68,10/29/2022 00:43:42,196
197,353.67,9.74,28.75,10.07,50.4,59.97,5/8/2022 13:12:54,197
198,828.02,13.04,4.25,65.96,176.93,92.34,5/28/2022 00:55:58,198
199,730.9,-25.89,4.92,41.83,313.23,66.32,7/28/2022 07:13:47,199
200,329.16,-12.44,28.51,87.56,92.76,19.41,4/18/2022 12:28:17,200
201,379.6,-43.63,49.02,17.86,168.22,49.39,4/1/2022 10:41:36,201
202,596.69,2.54,6.79,85.18,147.74,2.63,10/21/2022 15:58:26,202
203,398.55,44.11,12.34,37.44,185.38,21.05,7/2/2022 22:30:58,203
204,120.38,9.17,36.03,81.18,239.61,54.3,10/7/2022 21:02:47,204
205,43.52,-40.08,23.89,3.2,235.85,78.72,11/22/2022 11:14:44,205
206,164.04,14.68,39.93,45.66,337.01,50.85,4/28/2022 16:33:29,206
207,399.3,-32.03,84.47,94.96,304.41,49.76,7/13/2022 11:50:25,207
208,393.47,-0.74,23.3,35.62,237.5,17.52,1/28/2022 10:00:30,208
209,695.98,6.98,85.06,21.57,38.15,99.08,3/15/2022 10:17:54,209
210,767.84,38.05,49.71,7.57,314.51,25.63,10/19/2022 15:49:14,210
211,883.27,30.4,35.76,37.17,180.88,24.41,6/23/2022 12:56:39,211
212,366.5,23.5,56.65,7.73,138.62,90.47,6/23/2022 07:57:10,212
213,774.01,29.07,45.68,5.03,152.61,38.12,7/7/2022 20:49:37,213
214,733.55,-29.43,69.54,63.97,94.76,37.1,1/24/2022 04:05:21,214
215,228.27,36.52,64.51,65.94,22.37,85.98,3/22/2022 14:54:17,215
216,390.08,-14.05,40.94,31.7,70.48,48.38,4/17/2022 07:17:22,216
217,640.53,-38.62,85.41,34.43,235.73,78.86,3/21/2022 05:07:35,217
218,74.81,28.37,81.45,69.28,20.18,52.4,7/4/2022 09:43:43,218
219,651.06,-38.42,87.23,30.49,251.42,53.41,4/7/2022 23:11:22,219
220,380.81,24.45,90.62,4.21,270.33,45.28,11/22/2022 14:58:14,220
221,538.15,-18.91,25.45,56.34,162.85,79.94,2/13/2022 10:26:43,221
222,141.26,3.26,75.31,13.14,350.31,27.39,6/20/2022 01:28:47,222
223,89.51,29.85,7.06,24.92,69.33,94.72,7/17/2022 22:48:46,223
224,566.53,-32.51,1.72,10.88,213.8,76.14,7/1/2022 20:30:38,224
225,889.38,-1.77,84.56,97.73,136.87,6.49,4/23/2022 13:15:42,225
226,601.87,16.59,55.47,9.47,342.5,60.62,7/26/2022 00:40:19,226
227,746.79,35.61,58.37,82.39,159.85,87.91,5/16/2022 17:02:47,227
228,337.13,10.32,7.83,4.57,153.82,39.53,7/12/2022 23:28:57,228
229,60.75,-32.65,87.86,13.86,113.46,24.95,5/12/2022 08:58:17,229
230,177.17,4.71,15.62,97.68,42.83,60.85,10/10/2022 03:46:27,230
231,478.8,32.8,94.42,67.2,269.72,82.53,10/2/2022 03:53:03,231
232,880.64,14.49,17.18,43.67,249.72,88.51,11/23/2022 18:36:56,232
233,14.86,-19.95,83.28,94.86,208.47,55.56,3/3/2022 15:28:38,233
234,499.42,28.1,53.42,13.49,300.79,67.57,7/19/2022 06:46:47,234
235,214.97,-6.84,62.52,85.8,149.91,73.82,12/27/2022 17:04:35,235
236,956.5,20.51,79.53,97.78,63.62,4.81,1/23/2022 19:19:52,236
237,937.56,-15.56,47.96,40.84,310.34,69.14,10/15/2022 10:57:20,237
238,834.86,-39.56,49.01,17.05,350.67,44.14,8/9/2022 14:59:26,238
239,298.24,-31.98,49.2,7.81,270.99,53.22,12/19/2022 22:00:47,239
240,222.45,26.93,37.32,93.5,10.71,5.47,3/22/2022 18:21:09,240
241,348.53,-19.42,72.45,73.14,286.68,13.31,4/10/2022 07:41:10,241
242,688.01,23.89,84.05,42.01,341.48,85.76,3/19/2022 08:25:26,242
243,89.34,-17.38,77.58,6.81,134.88,54.95,11/10/2022 14:11:39,243
244,863.13,48.04,50.99,89.43,267.58,8.26,2/27/2022 00:10:18,244
245,812.24,-49.77,98.28,99.61,259.5,44.05,3/1/2022 14:11:51,245
246,208.19,14.18,37.65,95.45,101.09,11.3,3/22/2022 13:36:27,246
247,589.68,41.97,80.34,10.73,261.19,42.18,10/19/2022 15:35:58,247
248,985.89,31.32,15.25,37.99,47.55,56.57,2/20/2022 15:08:34,248
249,88.51,-47.63,77.23,89.77,153.58,6.44,5/10/2022 08:46:04,249
250,432.68,29.79,37.5,11.19,103.29,41.82,8/15/2022 04:13:32,250
251,879.36,29.35,42.63,45.08,67.36,34.32,8/22/2022 12:55:08,251
252,471.09,19.65,2.04,94.99,271.31,28.8,3/20/2022 19:31:13,252
253,130.42,-4.4,14.21,98.23,177.29,60.51,10/23/2022 17:26:18,253
254,363.77,-45.84,18.97,12.65,11.91,95.55,2/13/2022 05:45:04,254
255,535.0,36.45,95.72,1.73,55.75,20.23,9/12/2022 12:00:53,255
256,79.05,-15.92,29.9,53.01,351.56,72.9,4/15/2022 03:12:54,256
257,431.57,27.44,74.06,91.41,217.64,94.61,9/28/2022 20:49:35,257
258,951.3,16.87,62.42,57.83,206.0,10.55,8/16/2022 21:03:52,258
259,645.26,30.76,18.69,18.61,303.37,75.58,5/6/2022 06:00:25,259
260,760.24,12.08,53.86,29.77,268.28,68.42,1/31/2022 16:11:07,260
261,465.97,2.75,95.45,50.07,100.8,47.03,11/25/2022 06:10:58,261
262,160.45,-4.57,21.09,6.0,64.75,73.0,11/14/2022 19:09:08,262
263,469.6,-43.29,3.08,66.29,261.66,24.23,3/7/2022 20:36:35,263
264,93.85,5.76,64.13,85.08,272.56,97.53,12/5/2022 02:53:04,264
265,322.61,-32.72,7.09,6.7,169.42,35.15,12/16/2022 02:31:45,265
266,189.35,28.38,25.25,58.23,155.34,50.88,2/16/2022 03:59:08,266
267,885.75,9.75,45.66,66.92,342.0,1.39,8/20/2022 07:52:48,267
268,543.51,-42.9,45.07,83.17,59.73,20.79,3/1/2022 15:33:29,268
269,640.23,-42.07,30.89,23.1,333.71,19.59,6/19/2022 00:45:49,269
270,511.7,38.26,6.06,4.59,340.93,14.57,12/24/2022 22:35:09,270
271,83.61,-5.56,5.7,94.35,257.4,94.57,5/29/2022 16:29:19,271
272,691.79,34.3,16.1,54.25,119.04,55.37,6/24/2022 15:42:31,272
273,242.39,15.38,39.99,99.14,102.82,40.0,8/25/2022 10:39:32,273
274,34.28,29.72,48.08,92.84,129.84,49.4,10/24/2022 20:20:27,274
275,281.75,49.31,68.69,18.29,49.42,81.32,2/23/2022 13:36:15,275
276,230.75,-26.44,37.98,53.0,59.43,96.49,11/15/2022 17:14:40,276
277,681.24,-6.03,64.04,60.2,319.98,1.82,8/24/2022 09:42:52,277
278,851.73,28.81,79.25,3.15,81.13,15.05,5/13/2022 15:59:14,278
279,961.65,-4.85,60.69,24.47,281.82,79.82,7/23/2022 08:43:11,279
280,714.99,-41.3,33.12,45.01,246.02,71.99,10/10/2022 02:15:25,280
281,387.1,-23.96,72.94,53.12,296.0,29.03,11/19/2022 04:23:07,281
282,898.67,-34.26,55.53,19.75,38.56,70.88,1/13/2022 20:14:56,282
283,877.86,-42.79,66.18,24.43,292.48,84.18,8/7/2022 02:06:32,283
284,336.5,8.66,18.94,76.84,310.5,41.23,12/24/2022 21:31:23,284
285,901.04,23.07,72.24,12.42,94.78,88.6,8/2/2022 14:27:40,285
286,268.65,-41.37,78.16,46.34,187.27,86.22,4/4/2022 16:40:22,286
287,899.65,-5.1,50.19,0.29,45.11,55.16,5/9/2022 21:14:20,287
288,116.16,15.72,48.14,41.24,243.92,21.78,7/8/2022 04:48:08,288
289,969.9,1.55,75.77,23.2,129.23,28.43,11/24/2022 00:26:52,289
290,240.87,-10.36,81.75,48.39,199.74,29.5,6/18/2022 06:18:41,290
291,223.67,-22.11,9.16,50.22,118.4,92.3,4/1/2022 06:27:27,291
292,142.83,-22.41,73.24,64.78,206.59,37.32,3/4/2022 10:06:53,292
293,974.57,21.88,2.4,98.46,31.5,65.95,5/15/2022 02:22:28,293
294,240.41,1.39,94.35,75.51,44.29,41.12,7/6/2022 07:44:20,294
295,940.72,40.89,59.95,35.32,230.92,54.61,10/30/2022 09:27:59,295
296,441.6,-8.49,24.04,40.68,186.47,46.09,1/4/2022 21:55:59,296
297,787.11,-30.81,48.84,96.97,246.02,99.75,10/12/2022 16:01:47,297
298,495.98,0.64,18.15,63.99,210.55,41.39,10/26/2022 17:37:22,298
299,496.49,-3.53,72.04,64.67,24.64,90.81,2/6/2022 23:49:05,299
300,29.28,-47.86,7.62,95.42,3.02,45.8,12/24/2022 07:54:26,300
301,182.01,38.03,85.81,86.01,320.54,58.19,1/26/2022 01:35:57,301
302,116.4,41.57,90.57,48.74,100.45,66.61,7/5/2022 15:40:01,302
303,34.12,-22.37,62.05,27.24,329.58,52.33,1/10/2022 14:19:28,303
304,607.03,16.08,93.84,71.94,112.73,30.79,11/28/2022 18:49:44,304
305,270.28,-7.84,72.28,55.48,299.54,57.6,9/11/2022 06:31:32,305
306,945.65,-18.21,65.4,48.32,153.37,78.77,6/18/2022 13:11:17,306
307,243.79,-6.87,13.58,80.26,331.08,57.55,3/17/2022 02:53:49,307
308,143.53,8.05,29.1,46.46,15.81,39.97,9/25/2022 04:30:00,308
309,694.12,0.35,77.22,4.32,189.47,55.68,11/10/2022 03:51:31,309
310,656.5,-23.7,70.32,24.47,43.47,22.31,9/13/2022 19:56:06,310
311,2.31,-27.65,94.48,61.94,357.81,80.19,3/11/2022 05:44:45,311
312,4.99,5.08,95.88,99.2,91.7,51.64,11/25/2022 23:26:42,312
313,398.21,-49.64,98.73,60.57,226.55,36.65,11/20/2022 01:16:07,313
314,360.5,-45.93,61.59,44.02,143.24,79.04,5/8/2022 20:46:56,314
315,78.23,-26.52,72.22,60.26,320.46,88.49,11/28/2022 13:14:48,315
316,876.84,41.54,84.12,59.59,113.8,16.46,3/21/2022 14:29:41,316
317,357.68,-46.72,10.61,19.37,29.93,95.12,11/15/2022 16:38:35,317
318,636.81,11.55,84.25,59.02,114.56,40.45,9/23/2022 20:41:42,318
319,936.17,-43.35,37.35,67.61,301.74,75.59,2/28/2022 09:14:04,319
320,376.88,-18.34,89.4,98.45,80.29,97.35,10/24/2022 23:53:03,320
321,528.42,4.03,49.56,80.28,293.35,95.67,9/13/2022 05:00:56,321
322,517.23,25.97,79.79,39.79,253.84,98.16,8/2/2022 00:04:29,322
323,723.09,12.93,46.39,83.18,122.17,51.36,7/29/2022 09:18:34,323
324,454.23,-47.79,48.55,89.62,144.92,73.91,12/11/2022 22:02:02,324
325,382.18,9.82,62.28,58.39,63.58,79.78,4/28/2022 03:06:15,325
326,947.27,-15.36,49.49,2.28,142.84,98.14,10/29/2022 01:22:07,326
327,926.27,6.88,84.42,46.88,240.67,83.69,6/28/2022 03:29:51,327
328,303.11,-30.27,86.95,15.28,57.66,81.84,1/9/2022 12:50:25,328
329,133.58,-43.83,60.9,6.55,61.36,75.25,6/11/2022 18:32:08,329
330,645.73,-34.16,92.92,50.46,297.81,30.1,11/14/2022 20:26:36,330
331,660.21,15.37,86.66,85.32,230.49,87.69,11/4/2022 16:12:13,331
332,233.27,-13.22,17.33,32.14,206.3,9.05,2/11/2022 06:00:37,332
333,473.81,8.88,48.11,30.57,15.72,24.98,4/15/2022 06:28:49,333
334,39.47,-16.69,41.9,92.94,293.33,72.94,9/26/2022 04:17:49,334
335,731.47,-35.14,36.21,87.64,21.57,1.5,8/16/2022 17:48:24,335
336,214.82,-44.47,4.04,37.52,171.39,30.26,6/27/2022 20:24:37,336
