id,height,width,length
705,3868.5,9882.07,8058.67
706,7031.62,239.8,4288.09
707,1151.62,6548.72,7482.34
708,9060.12,1146.62,1911.5
709,2967.27,4488.72,5327.78
710,822.7,2052.14,521.05
711,7636.16,2034.41,3266.96
712,3573.11,3390.57,675.89
713,159.15,8133.17,3139.23
714,7025.43,3912.86,3962.22
715,5919.46,319.96,5283.75
716,3597.92,6679.64,465.87
717,5403.11,5442.09,6048.87
718,4693.38,5110.25,1525.27
719,7047.75,3337.03,1413.46
720,651.14,8715.81,8141.5
721,1800.51,6576.79,4563.7
722,8196.86,8353.7,2168.98
723,1244.22,2706.84,3658.98
724,3008.67,6199.78,712.79
725,9331.84,3561.31,1508.92
726,3395.72,9353.96,2024.21
727,9979.52,1589.21,8381.28
728,6360.12,4532.34,5322.23
729,4529.87,6392.57,9879.41
730,1273.03,1915.99,9787.47
731,2615.51,3500.38,2810.46
732,1205.94,8849.81,4478.43
733,8858.61,4276.87,1977.29
734,2788.12,8332.8,6231.48
735,6532.61,9662.83,1607.97
736,9130.28,2059.57,3502.54
737,3039.85,7101.42,9904.92
738,2332.77,9727.34,9859.33
739,6534.14,8332.97,1555.04
740,6136.7,1949.82,4562.97
741,7251.63,3725.01,7865.08
742,3318.14,3228.64,8606.44
743,9369.35,8382.61,3730.13
744,310.6,7189.91,5708.01
745,3551.28,1262.54,2473.89
746,4613.21,6873.73,5804.5
747,9503.89,9812.04,1396.21
748,8479.64,2254.72,438.46
749,6775.75,8718.08,6241.78
750,8975.79,9928.65,9478.04
751,7699.3,4302.31,829.23
752,4028.73,6262.6,2949.95
753,3610.93,9209.2,3077.06
754,5126.42,2878.31,245.35
755,5801.55,4896.84,2196.66
756,1513.1,1686.97,9609.57
757,7927.41,3910.31,4677.96
758,7750.45,6962.35,6238.69
759,3932.66,2124.19,6726.69
760,5177.49,1895.8,9152.9
761,9535.11,3165.54,7340.09
762,8378.69,1498.0,6615.86
763,1885.11,1760.09,8765.78
764,4291.15,6793.26,6130.84
765,2604.51,2159.39,9099.16
766,7422.31,2233.86,7553.48
767,5080.95,5104.18,1149.77
768,6086.52,3101.59,8484.87
769,3517.03,8472.16,3320.2
770,6383.45,2384.69,384.63
771,5593.09,611.53,6147.53
772,6784.54,9358.01,6643.88
773,6508.22,6875.08,339.91
774,6799.01,887.47,7460.93
775,5096.61,9027.54,7596.12
776,3719.98,3974.13,1358.34
777,6276.76,3254.36,706.99
778,6314.67,1817.5,3011.19
779,3211.39,3443.51,2967.28
780,5193.7,963.81,9184.42
781,4965.57,4683.59,1505.8
782,8961.82,7034.13,6266.24
783,8146.59,5963.15,4129.69
784,6407.03,6066.41,5441.16
785,7448.21,9176.2,3089.97
786,8085.7,3433.85,3943.34
787,7614.86,4671.43,4797.51
788,6392.67,327.52,5721.94
789,2166.28,1982.66,4469.26
790,259.9,4653.1,6887.92
791,8972.01,7188.76,463.98
792,1239.68,1749.25,9188.96
793,9801.69,8314.45,8315.63
794,6512.44,8399.65,9885.43
795,1324.93,1527.57,5575.45
796,7237.89,4577.6,697.36
797,9585.38,7911.15,7628.04
798,104.09,2340.1,1200.6
799,8424.16,9832.98,8265.65
800,2552.32,4092.65,7229.29
801,1779.65,7745.7,2897.25
802,2272.61,7140.38,993.72
803,9328.36,7711.42,7846.36
804,6908.72,8127.77,9362.29
805,9014.46,8861.87,6608.42
806,1320.58,7533.98,2175.06
807,350.2,2311.05,6004.74
808,7248.72,6618.93,3046.87
809,8724.23,4326.49,8737.37
810,9002.57,8804.66,4979.74
811,6610.63,6576.74,9204.05
812,4717.4,5675.64,905.27
813,3823.94,4596.43,7574.25
814,5816.74,2152.91,9339.94
815,902.61,9891.61,8484.23
816,9720.16,4460.42,6343.86
817,1756.39,369.64,3717.25
818,8836.74,404.27,1636.84
819,7736.14,5278.1,4311.42
820,9374.91,4939.09,7975.35
821,3195.03,7006.23,3997.81
822,7432.14,8763.28,6410.4
823,3993.8,858.0,7210.72
824,6045.75,4251.65,2593.3
825,2832.05,5262.35,6870.89
826,4983.26,854.95,9858.24
827,6360.36,8139.51,5350.28
828,5241.2,3114.25,9094.21
829,2145.88,5114.72,8356.2
830,6827.21,6701.55,8678.26
831,9011.15,9484.83,4163.77
832,9925.69,7708.81,1311.47
833,9986.3,9867.35,365.96
834,499.22,4017.0,2595.85
835,178.09,2045.51,162.99
836,7939.79,8010.24,5324.94
837,3468.12,4434.93,5609.62
