id,serial_number,battery_name,weight,capacity,original_power_capability,expected_endoflife,manufactured_date,height,width,length,manufactured_city,manufactured_street,manufactured_number,manufactured_zipcode,material_id,safety_features_id,manufacturer_id
54,+54,+54,224030.479,8967880869,6988457237,1/9/2025,7/3/2024,7672.21,7133.4,3247.32,Keleleng,795 Old Shore Court,22601,5454,54,3,54
55,+55,+55,903981.22,5947268014,4943303029,1/12/2025,8/17/2024,5416.1,2731.75,870.33,Mitry-Mory,3 Coolidge Hill,12075,5555,55,2,55
56,+56,+56,393521.432,69057458,3759778961,10/20/2024,11/3/2024,6770.42,2441.32,7759.95,Al Khushnīyah,45 Autumn Leaf Place,20513,5656,56,3,56
57,+57,+57,29951.044,8592195801,2102830858,2/8/2025,7/23/2024,61.64,4278.88,7443.04,San Miguel,4 Dorton Plaza,24412,5757,57,3,57
58,+58,+58,23751.509,4671666671,9914546057,8/16/2024,5/5/2024,7313.01,7303.74,7335.34,Paço,4906 Hansons Pass,6313,5858,58,2,58
59,+59,+59,537420.268,1142716622,6469728471,10/27/2024,7/14/2024,7974.32,2504.65,5986.56,Longtang,2 Quincy Point,9825,5959,59,1,59
60,+60,+60,378586.676,5699831224,2186416057,12/9/2024,2/26/2024,1876.04,4470.92,7875.86,Agarsin,3484 Declaration Terrace,23448,6060,60,1,60
61,+61,+61,630761.337,1509599363,277514744,3/21/2024,9/16/2024,5960.12,1123.05,3891.85,Santo Amaro,40 Washington Pass,8366,6161,61,3,61
62,+62,+62,601197.301,3893628053,3228977491,8/28/2024,1/12/2025,4663.63,8921.63,6119.79,Hitachi-Naka,43561 Hauk Parkway,11490,6262,62,1,62
63,+63,+63,701459.169,1468963367,7326028810,9/15/2024,3/1/2024,4071.35,6775.64,2623.3,Vishnyakovskiye Dachi,70264 Sunfield Parkway,2817,6363,63,3,63
64,+64,+64,434148.353,525072371,4883941676,11/13/2024,10/15/2024,5370.14,8110.63,3020.9,Saharna,9 Florence Place,15809,6464,64,2,64
65,+65,+65,819230.657,7799661687,6511073416,2/6/2025,1/1/2025,4562.86,3367.04,1185.36,Szolnok,96231 Bultman Avenue,4518,6565,65,3,65
66,+66,+66,856707.409,6785589138,7400680310,2/17/2024,9/20/2024,4920.53,5511.98,9445.76,Baoyou,0284 Burrows Plaza,20467,6666,66,2,66
67,+67,+67,655580.022,4814452628,1237462258,7/25/2024,4/30/2024,5668.81,8856.69,1206.09,Dzerzhinskiy,0081 Oak Center,24550,6767,67,1,67
68,+68,+68,236183.774,7250933617,7612360905,10/5/2024,9/18/2024,1877.52,5398.2,9466.76,Kunčina,6819 Larry Center,28246,6868,68,3,68
69,+69,+69,750420.771,9210041311,5170351131,3/20/2024,9/25/2024,9495.89,9495.48,971.58,Maymana,80249 Katie Court,5618,6969,69,2,69
70,+70,+70,208199.129,1773245004,2940923091,11/18/2024,4/14/2024,9646.76,4445.46,8145.68,Toshloq,878 Sutherland Junction,10661,7070,70,2,70
71,+71,+71,148867.315,5389448055,2753403895,11/12/2024,8/25/2024,2129.52,8484.9,965.43,Skała,3 Heffernan Way,14131,7171,71,2,71
72,+72,+72,847996.388,3464426564,2580508367,2/9/2025,11/16/2024,2562.16,4816.55,3183.98,Vaitogi,8854 Montana Junction,8764,7272,72,2,72
73,+73,+73,852503.408,4625169682,2430790726,6/5/2024,10/18/2024,5301.24,422.08,6271.67,Verkhnya Syrovatka,45 Melrose Junction,10521,7373,73,2,73
74,+74,+74,131039.459,279109482,4585538226,10/13/2024,3/25/2024,807.45,7825.73,5535.09,Bassar,031 Blue Bill Park Drive,12672,7474,74,1,74
75,+75,+75,56334.372,6447581745,8067183519,1/19/2025,11/23/2024,6525.51,4023.28,6267.0,Malhou,5 Hovde Point,20077,7575,75,2,75
76,+76,+76,841508.784,3136678619,7852087793,11/28/2024,3/17/2024,4974.24,8770.76,4679.86,Taishan,19 Cardinal Court,22368,7676,76,2,76
77,+77,+77,169211.168,360712990,9405481294,1/9/2025,2/13/2024,6904.68,1074.05,5248.05,Enschede,1 Ludington Junction,30209,7777,77,3,77
78,+78,+78,659034.898,2183957686,638555158,9/2/2024,10/4/2024,9025.96,5237.02,5024.56,Castleknock,419 Loeprich Parkway,6496,7878,78,1,78
79,+79,+79,445025.051,1488607262,6917251644,5/9/2024,6/21/2024,8744.07,9049.73,9583.6,Panguipulli,2114 Portage Circle,9468,7979,79,2,79
80,+80,+80,828905.822,1754834125,5294171084,3/4/2024,12/30/2024,5556.74,6735.51,5335.66,Manturovo,763 Pearson Road,13676,8080,80,2,80
81,+81,+81,461126.28,2633223319,2388992973,8/12/2024,11/15/2024,1044.11,1405.13,9108.88,Itupiranga,87 Johnson Trail,6127,8181,81,2,81
82,+82,+82,287998.343,9451073036,7971045264,8/24/2024,1/5/2025,2798.22,91.9,4767.28,Vila Pouca da Beira,2 Messerschmidt Junction,19043,8282,82,2,82
83,+83,+83,451591.649,661027768,7586400514,11/24/2024,6/6/2024,4920.03,2811.75,1835.31,Trzcianka,32929 Tennyson Crossing,27919,8383,83,2,83
84,+84,+84,658346.518,4477181942,5940830656,2/11/2024,8/9/2024,4520.89,2575.62,111.24,Sembon,35701 Dovetail Junction,1883,8484,84,2,84
85,+85,+85,182425.489,1121609770,4684187853,5/23/2024,3/15/2024,9949.77,2286.64,1570.13,Sydney,6578 Old Shore Trail,21086,8585,85,1,85
86,+86,+86,800725.99,6881786882,6716139067,6/8/2024,9/16/2024,3548.58,6559.52,5064.7,San Marcos,29 Summer Ridge Crossing,15604,8686,86,2,86
87,+87,+87,270814.305,3268692349,4204976709,11/12/2024,1/31/2025,2130.19,1094.27,7801.4,Ogwashi-Uku,7052 Novick Alley,5505,8787,87,1,87
88,+88,+88,744143.833,5159981501,4475108913,1/31/2025,12/9/2024,6821.12,5469.25,4577.13,Buri,632 Oakridge Drive,25875,8888,88,1,88
89,+89,+89,319406.23,6614223529,7760868290,3/29/2024,2/26/2024,321.44,6714.69,1398.33,Chepo,15942 Fisk Place,8448,8989,89,3,89
90,+90,+90,269993.578,2366134070,6306525113,2/27/2024,5/4/2024,4185.99,5169.73,9686.32,Yarmolyntsi,0916 Doe Crossing Court,29772,9090,90,2,90
91,+91,+91,206482.562,4154366621,175986241,7/6/2024,4/13/2024,9190.05,4519.63,2947.22,Gračanica,530 Crowley Trail,27851,9191,91,3,91
92,+92,+92,398864.402,5580706360,2721643535,10/12/2024,7/18/2024,125.41,8210.29,6254.46,Kasamwa,7938 Reinke Trail,2656,9292,92,3,92
93,+93,+93,596715.177,644461816,4970156080,10/16/2024,7/7/2024,1809.12,8361.33,2232.54,Aguiar da Beira,844 Eastwood Place,30245,9393,93,3,93
94,+94,+94,111708.245,8665616033,6898742013,12/4/2024,9/15/2024,1239.57,9709.51,974.95,Jatinagara Kulon,00620 Portage Circle,22021,9494,94,3,94
95,+95,+95,337089.348,7132649035,59316059,8/15/2024,5/18/2024,2514.96,3332.23,9154.62,Karatau,84 Village Terrace,2963,9595,95,3,95
96,+96,+96,506471.858,9464365540,7265200603,12/29/2024,2/27/2024,4471.4,5994.14,9567.27,Shinjō,5 Waxwing Drive,31593,9696,96,1,96
97,+97,+97,218524.598,5817324590,7915916758,2/27/2024,3/1/2024,2231.48,3169.92,8219.8,Jasień,8304 Wayridge Pass,3671,9797,97,3,97
98,+98,+98,284791.645,7787938194,8065060514,3/9/2024,11/28/2024,7268.88,9551.84,5870.92,Gazimurskiy Zavod,7149 Sherman Court,26447,9898,98,2,98
99,+99,+99,731099.032,4053309993,1476471529,8/19/2024,10/9/2024,6266.25,8241.93,3270.8,Svitlovods’k,59 Stuart Plaza,25308,9999,99,3,99
100,+100,+100,507773.537,4832736355,5170655771,7/7/2024,10/23/2024,4214.78,8132.65,6.24,Gaoxing,38262 Jenifer Street,22989,100100,100,1,100
101,+101,+101,729662.132,2175347248,4841295325,11/24/2024,11/3/2024,4003.09,2059.26,2845.06,Srostki,93 Lighthouse Bay Lane,19403,101101,101,2,101
102,+102,+102,287667.029,4318597372,2574365655,5/30/2024,4/17/2024,3471.64,5206.63,1784.4,Helin,3434 Browning Street,3563,102102,102,3,102
103,+103,+103,348484.678,4628794701,4221395112,5/19/2024,1/23/2025,8202.94,6341.79,71.93,Lianga,6 Dahle Lane,29332,103103,103,2,103
104,+104,+104,479420.308,8219218637,6854269179,3/21/2024,1/15/2025,7221.52,2234.91,4887.05,Yaosai,26004 Merrick Drive,13412,104104,104,3,104
105,+105,+105,633604.888,6384299681,9106510146,2/1/2025,6/4/2024,763.23,50.48,896.35,Gualán,66564 Hoepker Park,3923,105105,105,1,105
106,+106,+106,282018.495,5995735029,8464530483,2/17/2024,8/2/2024,8667.33,355.48,5467.47,Bayan-Ovoo,555 Almo Road,17426,106106,106,2,106
107,+107,+107,772166.372,9044997639,1245339999,3/8/2024,2/4/2025,9772.26,911.97,5115.0,Hacıhüseynli,55172 Fulton Alley,672,107107,107,2,107
108,+108,+108,443216.731,7075570044,144967072,6/15/2024,7/9/2024,3529.6,6426.56,9472.72,Jiqu,433 Kingsford Lane,10115,108108,108,2,108
109,+109,+109,942759.98,5102453483,2022970062,1/28/2025,8/25/2024,6019.38,9727.12,3332.29,Yasnyy,76 Main Way,77,109109,109,3,109
110,+110,+110,834579.657,174489862,390079217,3/30/2024,7/7/2024,479.94,877.41,4192.81,Kaliningrad,1 Heffernan Drive,28992,110110,110,2,110
111,+111,+111,633816.296,198092519,9374806838,11/26/2024,9/25/2024,3888.67,480.73,3035.91,San Salvador,5158 Welch Point,1339,111111,111,3,111
112,+112,+112,217525.459,1701609514,5582662828,9/26/2024,12/28/2024,5291.11,8004.24,4184.33,Zvenigorod,3336 South Place,15691,112112,112,1,112
113,+113,+113,465381.423,4751502156,8508531756,4/30/2024,11/8/2024,4278.93,2605.91,4028.9,Pajak,1768 Sycamore Alley,27787,113113,113,3,113
114,+114,+114,521157.017,6377801472,5640167915,5/13/2024,9/14/2024,8092.52,908.56,8371.68,General Vedia,0340 Dixon Center,12692,114114,114,1,114
115,+115,+115,472475.558,1002405406,5949982456,3/14/2024,1/19/2025,1218.18,1499.16,7430.32,Chengkan,08096 Jenifer Avenue,17074,115115,115,3,115
116,+116,+116,278651.211,4034140470,6510621930,8/11/2024,1/1/2025,557.97,9527.64,4095.65,Phoenix,75 Pond Plaza,25226,116116,116,2,116
117,+117,+117,132171.277,456170449,392979716,3/27/2024,8/15/2024,6710.69,9547.46,8343.64,Rebrikha,4134 Browning Road,405,117117,117,1,117
118,+118,+118,783969.262,4154412460,652295745,6/28/2024,4/11/2024,5898.88,6953.12,2884.26,Pingwang,0316 Gale Plaza,18427,118118,118,1,118
119,+119,+119,505476.227,9898768649,7889829420,7/22/2024,4/16/2024,4593.65,8433.71,5941.62,Maunatlala,19352 Tomscot Parkway,307,119119,119,3,119
120,+120,+120,806290.782,4879804398,7677843155,2/19/2024,5/27/2024,696.73,3703.71,3199.31,Chancay,7340 Charing Cross Point,25786,120120,120,2,120
121,+121,+121,721796.113,461493362,8255981346,11/20/2024,4/10/2024,2391.89,9122.48,1801.68,Saint-Maixent-l'École,2 Boyd Plaza,30015,121121,121,1,121
122,+122,+122,848011.498,769353913,8971341457,2/17/2024,12/12/2024,7045.5,4507.11,7540.82,As Samawah,5 Buena Vista Parkway,17735,122122,122,2,122
123,+123,+123,788709.527,3872263609,8822720643,8/25/2024,9/20/2024,4831.31,8046.17,3345.5,Vasyl'evsky Ostrov,130 Old Gate Lane,2862,123123,123,2,123
124,+124,+124,87334.808,9882388443,6717381240,11/19/2024,5/29/2024,3800.6,8505.1,8872.46,Sosnovo-Ozerskoye,136 Division Way,2889,124124,124,3,124
125,+125,+125,368562.057,2119566425,6331990471,6/20/2024,4/26/2024,6316.98,8845.89,5519.22,Creil,3205 Judy Avenue,32210,125125,125,2,125
126,+126,+126,910736.407,6046416619,3109263891,8/25/2024,1/10/2025,2350.43,8467.94,4214.49,Xuchang,4 Clyde Gallagher Plaza,15504,126126,126,1,126
127,+127,+127,948440.374,7571449179,9616617064,9/17/2024,12/14/2024,4777.8,649.59,8113.0,Santo Isidro,883 Moland Pass,32221,127127,127,3,127
128,+128,+128,665023.193,3463217055,4114536907,9/12/2024,10/22/2024,8790.97,8607.23,6508.22,Lingkou,2 Hazelcrest Alley,18776,128128,128,3,128
129,+129,+129,46592.16,2607135760,5604952667,6/13/2024,5/27/2024,8363.66,2878.34,6389.85,Albuquerque,90371 Vidon Hill,22037,129129,129,3,129
130,+130,+130,327275.812,3125580366,5289601212,9/22/2024,10/26/2024,4678.62,5324.7,5700.83,Barwałd Średni,9250 Esker Circle,19891,130130,130,3,130
131,+131,+131,912929.515,3681811649,6449904287,12/20/2024,6/18/2024,58.61,7806.56,2951.28,At Taḩālif,15780 Maple Crossing,3295,131131,131,3,131
132,+132,+132,971023.424,65053407,2592608747,4/21/2024,1/29/2025,606.92,9349.2,7834.17,Dongla,99 Fair Oaks Crossing,11483,132132,132,3,132
133,+133,+133,960937.355,2079729232,7305582235,12/7/2024,6/27/2024,4800.59,7727.73,2743.19,Paris 12,61148 Petterle Crossing,21448,133133,133,2,133
134,+134,+134,649906.612,1068226284,8111455575,10/23/2024,11/22/2024,1071.68,4079.55,312.07,Priboj,7183 High Crossing Road,27622,134134,134,1,134
135,+135,+135,260501.821,4705156181,3731715252,1/14/2025,1/20/2025,247.57,3834.72,4920.59,Vila Chã,218 Fairview Way,24632,135135,135,1,135
136,+136,+136,710611.708,1701331191,2721140671,11/22/2024,9/21/2024,569.33,2189.45,7561.9,Malaya Dubna,815 Mallory Trail,10776,136136,136,1,136
137,+137,+137,110350.226,6329504447,6642684108,2/8/2025,6/28/2024,5542.8,4393.02,9720.9,Terenozek,92 Northridge Park,21284,137137,137,1,137
138,+138,+138,367988.137,5093198856,6473247184,10/22/2024,11/21/2024,2760.96,1755.95,9828.48,Ziway,9 New Castle Hill,12120,138138,138,1,138
139,+139,+139,919774.651,5150698722,2629714220,10/28/2024,8/10/2024,4952.63,4065.26,125.38,Durazno,0 Stone Corner Parkway,657,139139,139,1,139
140,+140,+140,634282.339,6233758018,2769534200,7/15/2024,9/24/2024,1386.87,107.63,1684.14,Tubel,3 Washington Center,14671,140140,140,1,140
141,+141,+141,535217.317,377903279,4069339759,5/2/2024,1/17/2025,5825.52,8051.36,5486.16,Munturkaju,60268 Spohn Plaza,23784,141141,141,1,141
142,+142,+142,981518.589,469430624,9966216536,12/12/2024,5/29/2024,8002.85,8947.53,1710.96,Mailsi,48 Melody Crossing,21709,142142,142,3,142
143,+143,+143,574120.54,7998529641,3510170706,1/31/2025,7/20/2024,2291.99,952.89,4635.5,Huarong Chengguanzhen,4300 Petterle Circle,30046,143143,143,1,143
144,+144,+144,744354.194,5564326680,4472774456,1/29/2025,5/20/2024,98.01,4899.09,2945.01,Butha-Buthe,4696 Loftsgordon Drive,22732,144144,144,2,144
145,+145,+145,107511.671,1992127906,2702603567,6/4/2024,3/18/2024,8919.37,1377.61,347.59,Idvor,33 Brickson Park Avenue,12603,145145,145,3,145
146,+146,+146,949976.238,8616544145,5873328092,5/23/2024,4/25/2024,3497.19,4596.59,1469.09,Hofors,90564 Old Gate Way,30652,146146,146,3,146
147,+147,+147,871963.224,9291936024,3615301239,3/7/2024,2/1/2025,3955.77,265.41,6627.94,Czerwionka-Leszczyny,5847 Lighthouse Bay Terrace,1574,147147,147,1,147
148,+148,+148,608999.397,2916166631,2060114708,1/30/2025,3/22/2024,2120.31,8829.22,3650.28,Twante,6239 Sachtjen Road,20730,148148,148,3,148
149,+149,+149,943733.376,6235556997,4490433575,7/6/2024,12/17/2024,3726.72,2300.82,4043.7,Fulu,5887 Shelley Lane,17292,149149,149,2,149
150,+150,+150,313569.517,4402185703,9826227579,6/28/2024,1/20/2025,5297.89,1081.76,2012.01,Troitskiy,49 Harper Place,13030,150150,150,3,150
151,+151,+151,854412.287,8571845018,4877891721,10/7/2024,12/18/2024,6972.39,2928.49,7052.3,Caramanta,0 Shelley Road,15329,151151,151,1,151
152,+152,+152,211124.279,8164215752,6933738117,9/3/2024,7/12/2024,7779.88,1579.36,3063.65,Qaţanah,60306 Moland Pass,11378,152152,152,3,152
153,+153,+153,95681.354,4138876441,9795986120,6/30/2024,5/9/2024,3280.02,1941.03,6667.71,Blumbang,9711 Twin Pines Hill,11610,153153,153,3,153
154,+154,+154,107904.399,1209106902,5547080243,9/19/2024,10/21/2024,7187.14,6005.62,1268.35,Cela,59749 Bunting Circle,12328,154154,154,3,154
155,+155,+155,930579.595,608470245,9909825157,12/26/2024,5/27/2024,3768.26,9368.95,989.09,Belčišta,29702 Golf View Court,24545,155155,155,1,155
156,+156,+156,737388.087,3242087298,312286134,6/5/2024,6/1/2024,4517.32,6190.1,9476.87,Montgomery,1 Maywood Crossing,30306,156156,156,2,156
157,+157,+157,713243.254,9333786709,2327316408,10/13/2024,7/5/2024,2085.67,4830.6,5802.23,Furmanov,777 Johnson Point,3735,157157,157,2,157
158,+158,+158,716230.884,3961253886,9845320511,1/25/2025,3/3/2024,521.76,4192.41,2005.63,Limoges,6 Dunning Crossing,6080,158158,158,2,158
159,+159,+159,632390.52,6934956001,8877076723,7/19/2024,5/2/2024,9582.79,966.72,3916.96,Tenjolaya,10372 Holy Cross Drive,21480,159159,159,3,159
160,+160,+160,498652.845,6501377067,7158707681,2/29/2024,11/3/2024,9010.28,1706.26,8575.45,Igcocolo,6 Doe Crossing Plaza,27900,160160,160,1,160
161,+161,+161,105368.604,1152432477,668442907,11/29/2024,8/23/2024,2532.78,4336.62,3417.31,Chitré,76 Clarendon Court,30696,161161,161,1,161
162,+162,+162,845061.155,2373339794,1554740741,5/5/2024,11/21/2024,2096.8,9684.33,272.26,Laç,681 Montana Parkway,20355,162162,162,2,162
163,+163,+163,582870.503,2371290344,2793312648,1/2/2025,7/30/2024,1452.9,8111.21,3804.68,San Vicente,85 Ridgeway Way,17474,163163,163,3,163
164,+164,+164,640469.566,9454430628,7292039694,11/8/2024,12/10/2024,7458.23,2553.38,4280.48,Fuliang,53186 Johnson Court,19816,164164,164,1,164
165,+165,+165,639639.768,2929655349,9139822245,1/20/2025,10/3/2024,2289.62,9167.26,2904.15,Bern,7 Loeprich Avenue,24959,165165,165,1,165
166,+166,+166,267210.526,22690543,4136283932,12/20/2024,6/9/2024,5938.86,689.1,3794.85,Sechelt,52 Lighthouse Bay Junction,25597,166166,166,3,166
167,+167,+167,804235.677,4252201248,9133385550,4/6/2024,7/6/2024,452.06,2561.71,1029.49,Tanahmerah,903 Blue Bill Park Circle,26859,167167,167,1,167
168,+168,+168,616874.595,6301628337,9321729904,5/9/2024,9/23/2024,1496.48,6137.96,7398.73,Yamagata-shi,80 Hallows Place,27229,168168,168,2,168
169,+169,+169,521317.761,4002031486,4878553240,1/18/2025,7/19/2024,660.09,4281.76,3064.25,Huili,1213 Sherman Place,3249,169169,169,1,169
170,+170,+170,130084.196,370970546,7272392130,9/9/2024,2/16/2024,909.57,9150.57,6597.71,Manama,177 Pond Alley,10290,170170,170,2,170
