id,power_module_name,battery_module_name,battery_module_energy,battery_usable_energy,max_output_power,peak_output_power,nominal_voltage,operating_voltage_range,communication,power_module_weight,battery_module_weight,operating_temperature,max_operating_altitude,noise_emission,cell_technology,created_at,updated_at,height,width,length,power_module_height,power_module_width,power_module_length,battery_id
11,Loren,Ditzel,7389564751170.93,4707130870217.37,307079967891.52,9541601496662.2,4534,616,+11,16485.32,740452.71,207897.19,294929,246.62,mauris,2024-09-07T21:48:40Z,2024-04-09T20:22:53Z,2143.85,590.67,9567.41,9204.33,2788.73,4661.74,11
12,Sterling,Candey,9838147132851.9,3470328688801.53,3770312657849.83,8195614017269.63,17517,682,+12,796151.33,952420.02,847447.27,393492,210.06,elit sodales,2024-08-16T04:35:46Z,2024-03-23T19:21:55Z,2445.75,9054.63,2510.45,4125.12,2604.02,5021.68,12
13,Odie,Summerell,8421682673347.04,2324340295201.19,5995257033254.87,6413329515905.41,7013,811,+13,136936.19,728471.24,262436.8,594693,563.66,posuere,2024-10-20T08:04:05Z,2024-07-17T13:19:14Z,9029.6,6067.78,8387.94,6769.79,7734.38,5576.92,13
14,Humfrid,Abad,3543802133033.35,5925236075387.31,9558956276407.11,2864954864195.01,16589,274,+14,135896.03,98112.3,88153.47,566362,255.61,ipsum aliquam,2024-10-28T20:05:35Z,2024-06-02T10:57:11Z,6912.35,442.89,250.44,186.57,7824.8,9207.79,14
15,Bale,Anscott,6664942106513.17,9158880336411.62,7476541483318.96,4008262672749.55,7829,417,+15,523533.77,915543.68,685715.52,545383,278.88,mattis pulvinar,2024-11-19T02:29:56Z,2024-12-18T13:56:01Z,2082.3,2315.4,6677.16,3450.66,251.17,7889.84,15
16,Duffie,St Clair,4257442813311.12,6357266958205.41,2253595609449.82,9756688712591.62,12279,648,+16,875472.38,537354.62,364820.54,414829,863.6,cras mi,2024-06-18T02:33:25Z,2024-05-20T04:41:02Z,8371.74,2704.17,3257.38,2771.77,7998.43,3910.02,16
17,Virgie,Bartlam,3861773854577.25,7037072982485.69,4783620668452.16,8825169873901.66,14903,82,+17,720202.15,884471.19,99626.15,460359,675.14,ut nunc,2024-08-03T12:24:52Z,2024-03-30T10:48:11Z,7341.39,2287.41,7506.34,9260.89,4720.96,6856.78,17
18,Tony,Kleinerman,9761126322886.13,9603358454709.77,1793094918297.21,644624179277.78,12292,443,+18,25730.31,118004.82,199904.62,390328,914.75,dapibus augue vel,2024-06-27T13:59:12Z,2024-09-07T15:20:18Z,9179.36,314.69,1243.25,5879.43,5036.33,5250.35,18
19,Luis,Davydoch,292608615003.91,9807324407310.35,7779955522519.96,8909929896775.34,8248,995,+19,595979.1,252957.84,33987.22,285507,126.6,luctus et ultrices,2024-02-29T09:22:34Z,2024-12-17T05:02:42Z,6378.73,4361.74,2808.39,9868.23,1204.76,9716.47,19
20,Randolph,Stannering,3705400353962.34,569224411988.02,8294028508368.24,8582683616287.53,12496,113,+20,501270.16,597860.44,399327.59,745515,425.16,in,2024-03-03T00:01:06Z,2024-05-25T08:57:47Z,325.69,2520.45,4480.24,9371.96,9079.49,3125.87,20
21,Siward,Demougeot,2406280666940.85,8587613050116.58,7370896292338.69,2704941035085.68,9073,58,+21,264136.14,819600.79,580707.75,800801,207.7,integer,2024-04-01T06:16:16Z,2024-06-17T05:28:17Z,5449.35,1564.42,6925.42,5731.54,8624.15,5598.08,21
22,Natassia,McKinney,9570099296118.53,5005287354720.07,8964254814363.28,9636440215762.35,15173,244,+22,801305.45,237829.64,846608.17,739584,141.45,vivamus,2024-04-20T20:17:33Z,2024-04-10T06:06:10Z,7506.75,3363.96,5768.28,57.28,390.84,8038.2,22
23,Dulcy,Hudel,3006026249649.31,2058465978889.04,1177777130316.25,4997264628613.47,642,38,+23,187232.96,961260.12,251921.05,285048,198.8,a ipsum,2024-09-15T16:52:53Z,2024-02-10T21:57:02Z,3527.61,9020.57,3661.85,9894.89,8768.27,9927.66,23
24,Waylen,Loder,1962764767691.01,165941898422.81,371786838136.84,2230700359044.59,16714,401,+24,160196.56,970162.09,18831.97,777734,785.39,integer,2025-02-05T07:29:05Z,2025-01-07T07:38:19Z,4359.58,975.98,8385.88,6717.75,1214.5,6912.43,24
25,Amalita,Jakel,9160301842816.27,1929770362359.37,5715192227575.41,544031326775.4,12185,751,+25,521420.92,449340.56,835288.78,23142,679.93,luctus nec molestie,2024-07-25T00:32:12Z,2024-12-31T12:09:23Z,9304.65,5256.94,6810.84,9275.0,62.51,6008.29,25
26,Gweneth,Prover,5881134056348.34,9725185166421.18,8120795364024.27,1893388778827.06,4274,176,+26,591143.44,507966.41,275975.46,550810,473.23,libero nullam,2024-08-15T04:46:46Z,2024-07-20T00:56:23Z,8130.96,5541.71,361.81,7783.79,4885.87,8285.95,26
27,Balduin,Jurca,271158629048.85,6825035675499.07,8997688222352.97,7543945220055.61,7052,559,+27,191473.36,113027.21,615923.51,587030,909.35,at,2024-03-02T23:05:12Z,2024-07-27T00:15:36Z,3159.56,8125.56,4028.66,5854.09,7597.92,4723.25,27
28,Filippa,Clissold,9368040495017.18,7410643645879.54,6935700108187.68,3242238693152.4,14744,259,+28,627216.28,864705.8,509430.44,126813,916.15,donec odio,2024-07-23T09:38:38Z,2024-10-22T10:56:07Z,5906.35,1237.57,4987.17,5413.51,7341.49,3079.28,28
29,Sascha,Bartolomeu,5853475162420.0,3422779925483.48,4386198920269.17,2542877814367.84,13153,891,+29,801938.52,986754.72,913647.49,844266,248.14,mauris viverra diam,2024-12-21T12:54:44Z,2024-11-11T01:47:53Z,7976.46,60.4,3200.63,9224.91,3248.83,2834.74,29
30,Philippa,Mauser,1192921390216.44,3904984102820.7,5055516086020.37,5520248327345.77,11574,250,+30,602712.47,557875.93,317620.3,763156,948.91,ut tellus nulla,2024-08-08T08:37:35Z,2024-07-21T03:30:07Z,4634.51,3882.28,3065.15,9854.44,2185.52,3507.41,30
31,Dionne,Levane,8176044467473.24,2626470850844.04,7974614887799.21,1782627626816.3,11089,313,+31,1964.97,469343.04,9788.29,863158,703.9,tristique in tempus,2024-08-29T15:52:50Z,2024-08-06T08:39:49Z,3977.6,3268.39,6532.54,4598.23,6218.72,6375.71,31
32,Imojean,Say,2243720233317.21,5609472911969.63,8374457758219.71,7477737663012.85,12504,74,+32,196061.84,351751.12,563325.1,807856,506.04,et ultrices,2024-06-13T08:26:27Z,2024-06-29T16:32:16Z,5821.94,6818.5,982.08,4461.81,3956.09,4705.04,32
33,Marion,Meeron,8374719230117.7,8587804152535.13,6766260535855.72,4519861476885.28,15791,961,+33,500108.14,746697.21,362068.8,399981,536.54,ligula in lacus,2024-10-30T13:38:31Z,2024-05-11T13:23:04Z,8135.48,1948.91,7093.14,6837.55,7880.86,9192.24,33
34,Mitchael,Sabberton,7433363819118.67,5201522470269.89,2433369416838.59,6416317188296.87,17508,431,+34,11062.11,726196.7,23967.54,960667,325.88,ut,2024-12-09T14:07:04Z,2024-06-07T00:34:06Z,158.52,2712.56,8999.43,3311.26,8767.31,1012.53,34
35,Jeanette,Chapelle,2595878287417.03,3362845955900.06,8992354611830.12,9908069200897.23,20015,967,+35,132283.97,796520.4,535504.84,365435,273.39,rutrum rutrum,2024-03-22T23:38:26Z,2024-09-06T10:34:21Z,7883.96,3142.19,1740.09,2025.66,5482.65,4512.32,35
36,Rodge,Landy,8908781322469.17,733309540361.77,6261040597324.63,6223131080587.89,17359,56,+36,106301.31,473502.3,180752.08,300642,842.38,arcu adipiscing,2024-07-31T12:35:43Z,2024-04-19T08:46:26Z,6198.66,971.18,3499.25,98.95,6863.51,2050.42,36
37,Terrye,Maysor,1839194218931.97,3391397898987.64,5828516002899.78,1173240462413.85,7219,79,+37,703999.44,408870.58,422708.91,9328,868.44,ornare consequat lectus,2024-09-24T02:13:08Z,2025-02-03T12:00:27Z,2323.31,6884.22,1665.78,3704.53,8919.31,2262.69,37
38,Stacy,Phillipps,2417585828774.53,4555703900141.39,3840368540055.26,3506318446660.05,9110,93,+38,882049.35,504594.38,221689.54,397972,509.66,metus,2024-04-03T00:53:58Z,2024-12-15T13:25:49Z,2059.87,447.84,8035.98,3008.53,7435.51,9694.05,38
39,Stanley,Foale,7193259685969.55,3559036230857.75,8513880479808.33,4639687581774.25,16326,87,+39,461981.56,337422.8,222997.17,553912,708.51,pede morbi porttitor,2024-03-14T11:34:41Z,2024-04-30T01:33:34Z,6042.19,582.06,7186.53,2434.13,8090.76,5972.74,39
40,Corny,Heatley,1097133372507.28,4665781607857.89,9594887102576.58,8342486663039.66,17881,79,+40,118435.7,608003.53,99498.48,8703,766.37,libero nam,2024-09-12T05:22:34Z,2025-01-26T11:16:56Z,3475.55,7608.78,4044.72,8857.37,1051.72,4607.86,40
41,Garrott,Upstell,8383058066308.9,5798552692312.63,1786749534709.13,7128111208762.51,18237,917,+41,5788.31,209177.6,970793.31,409651,575.41,quis,2024-05-21T03:23:08Z,2024-02-10T03:12:26Z,7185.36,3350.29,1489.69,4145.41,1245.93,3078.57,41
42,Maggie,Ismail,4569672342474.83,7708755978404.32,584571295166.61,561963527844.43,10444,364,+42,545948.14,305248.13,260517.48,400039,622.14,nunc,2024-08-23T13:40:31Z,2024-12-10T03:50:13Z,1781.16,7729.99,8025.67,4111.47,3690.33,5266.9,42
43,Tamar,State,4424921595502.93,4788727087699.6,6091110010185.4,2170115453605.96,1499,942,+43,930799.17,284159.24,519444.48,727839,687.24,nibh fusce lacus,2024-11-09T23:38:20Z,2024-09-17T00:53:22Z,1044.65,1430.33,1975.5,6552.75,3295.77,1863.98,43
44,Glenden,Wood,5341354165728.46,3327310521571.65,2205526066667.97,9994117110543.62,4926,184,+44,119488.04,587083.91,634614.22,803079,648.56,aenean sit,2024-10-10T13:43:11Z,2024-05-24T03:03:17Z,6576.69,6299.82,8051.3,7639.54,5941.64,5280.15,44
45,Amalia,Pennick,5441444697813.11,4488150264708.86,8198758843701.95,5383584014083.19,6277,509,+45,651632.98,362375.95,705192.4,353149,497.08,at turpis a,2024-07-13T23:33:26Z,2024-05-03T13:56:53Z,5776.37,4407.85,5173.03,1120.25,3681.45,826.28,45
46,Jany,Battlestone,8533745011656.92,7673880677229.09,7169897532284.92,8669232352554.18,8629,140,+46,128811.69,275349.6,378279.07,383422,775.66,volutpat,2024-02-25T11:08:10Z,2024-12-07T18:39:21Z,3589.25,1516.76,9335.79,9044.13,4518.57,9709.97,46
47,Gavin,Faye,1858295374801.49,9247346814475.41,1308246710963.31,8149788738324.52,20318,835,+47,518469.91,356800.27,962651.14,275755,361.34,eget eleifend,2025-01-05T07:47:09Z,2024-09-23T16:08:02Z,1558.07,2666.95,7401.78,1972.8,525.97,5249.57,47
48,Veronica,Playfair,5697245414264.7,6541604533790.96,5644392543742.97,4393311357252.98,1374,611,+48,535788.16,413572.81,362796.81,404840,845.23,suspendisse potenti,2024-12-14T19:27:34Z,2024-03-22T07:11:00Z,7574.61,8367.73,8543.82,3802.08,3828.7,1175.62,48
49,Wayland,Balshen,4603713506529.67,3537118674783.84,143918225776.77,935025616294.06,11885,797,+49,810374.96,58578.02,815714.88,266632,505.37,ante vel,2024-11-12T23:17:46Z,2024-07-13T06:58:17Z,9947.12,8262.36,9313.02,3201.27,7111.46,2419.18,49
50,Nance,Reape,7938422653547.74,4321224244425.2,6770673815025.62,3936303459016.35,6081,339,+50,726491.6,341907.46,131364.13,626696,255.42,tempor,2024-05-30T21:47:28Z,2024-08-10T01:40:29Z,1358.26,3532.01,6056.22,6081.13,586.84,7224.84,50
51,Marjory,Verriour,2064936407894.38,2039129773843.24,9788255166809.53,761534874711.55,4120,469,+51,638158.97,840456.86,122838.81,317687,249.76,elit proin interdum,2024-09-04T10:29:14Z,2024-03-28T22:53:47Z,7996.0,9458.99,1067.34,3947.61,4621.71,7319.76,51
52,Ania,Shakle,6683063264043.54,7840222253507.58,6960794260601.7,5803452267586.2,11811,197,+52,758202.86,531170.38,712067.53,976455,967.1,a feugiat,2024-02-29T21:17:11Z,2024-03-17T06:32:31Z,5581.8,7844.24,9572.25,9207.0,4813.61,1564.37,52
53,Lisa,Sawford,8778573757698.01,3641732232230.08,1864217713358.81,9742464752126.71,1952,377,+53,968648.94,331842.97,716178.42,660332,59.53,cursus,2024-11-15T17:24:09Z,2024-11-30T13:14:09Z,94.77,2236.39,7917.1,7251.13,138.72,4767.4,53
54,Marget,Parkinson,6486607022764.11,8864689931946.77,7502879181042.59,2430610437649.29,19173,375,+54,636495.05,846950.49,620079.66,937425,648.4,nibh in lectus,2024-08-23T06:44:53Z,2024-05-27T05:20:01Z,4261.75,7273.84,3692.07,5682.34,1116.42,5196.44,54
55,Leese,Loding,2531605109227.38,258130024787.14,3624708391183.5,9457670654256.56,14724,103,+55,214841.14,663570.03,326251.13,29174,686.74,nam ultrices,2024-10-30T06:56:57Z,2025-01-02T07:40:40Z,7914.13,5556.14,9149.88,9974.92,8887.66,680.71,55
56,Isadora,Senett,6073155502221.99,5690977817997.92,5872743109569.34,4249395785238.92,13320,861,+56,28034.91,274867.18,15998.98,551204,539.31,blandit non interdum,2024-12-16T06:24:13Z,2024-06-16T23:46:46Z,3131.9,5504.61,7146.5,1480.32,2390.05,7729.31,56
57,Pris,Mugg,1336476619336.38,7482071892755.58,3912221004896.81,4644123082115.26,6433,240,+57,508339.31,222919.96,274284.22,713278,741.34,sollicitudin mi sit,2024-04-03T05:10:45Z,2024-09-06T06:34:02Z,2351.08,4223.15,2343.83,8297.03,2711.74,9796.32,57
58,Fanchon,O'Grogane,1223300274382.09,8057552241100.33,3745373108223.11,2665902828164.4,11747,128,+58,637198.3,882469.87,565216.33,23218,699.1,lobortis,2024-06-22T16:24:24Z,2024-08-13T12:47:39Z,932.22,1060.91,9456.14,9072.56,5483.61,1400.68,58
59,Caryn,Arnoud,7581183159967.55,750860096534.08,1538881341128.81,8780086281182.24,11228,830,+59,772972.17,532155.27,632715.96,727968,998.03,maecenas tincidunt,2024-11-04T19:46:44Z,2024-09-16T17:03:33Z,3361.04,758.91,6688.11,2453.82,4021.58,4186.57,59
60,Ava,Beaby,6023065598278.73,642792428131.95,8516810184380.55,5743801633520.94,12235,505,+60,936068.74,47462.16,940688.46,219188,836.16,nunc rhoncus dui,2024-08-28T03:08:58Z,2024-12-02T03:08:36Z,6895.67,479.59,3577.01,4373.76,3615.81,7199.38,60
61,Gilly,Risbrough,4230460683381.63,1343308537620.2,9287615962799.07,9779940727771.66,21027,908,+61,596080.19,31709.97,487787.96,75492,534.03,morbi porttitor,2024-12-25T00:26:13Z,2024-07-26T08:14:26Z,4376.95,4750.97,5183.22,9155.03,7963.92,8668.74,61
62,Riane,Sayton,8465661128512.12,6856962544279.91,1308131659916.75,6380486977685.05,13119,772,+62,206700.77,132780.56,250621.39,95666,555.9,dapibus dolor,2024-06-29T02:48:06Z,2024-06-18T10:02:34Z,1122.53,3828.95,8111.14,9612.95,2211.86,7939.26,62
63,Sergio,Marmion,7465980996607.67,5362743052664.0,5417545520783.18,7432520417912.97,3857,527,+63,188292.79,433228.93,195052.69,580360,478.46,luctus,2024-08-13T18:27:55Z,2024-09-28T20:07:51Z,2668.78,6029.53,181.92,6458.03,8281.51,4951.35,63
64,Hollie,Reder,4227234198943.6,9092021583621.89,8996219766174.97,6836375954549.57,7175,18,+64,752783.68,815100.35,118318.92,392432,921.02,sit amet nulla,2024-06-27T02:32:28Z,2024-04-17T00:56:13Z,4862.17,7596.52,1166.73,4145.96,4450.35,5357.69,64
65,Ernesto,Daubeny,8696651196817.54,1663651944832.35,3440008989823.55,6816794587487.41,6930,177,+65,492297.86,925514.66,561716.98,603614,340.35,lectus,2024-07-18T15:30:35Z,2024-02-28T04:13:07Z,3538.47,2478.8,5306.84,3805.12,5627.63,7625.35,65
66,Ashby,Jasiak,9662728631745.4,7932858965422.27,4063619774305.27,8590636156483.61,12621,599,+66,351927.86,724299.09,367995.73,764281,929.11,nulla tempus vivamus,2024-03-27T08:27:08Z,2024-09-13T17:02:01Z,2609.2,6826.94,5234.05,3264.12,7047.29,5679.95,66
67,Hakim,Cotgrave,1617975903040.14,3791676852845.35,3552735475599.19,8784296359810.83,11061,202,+67,886444.29,230339.33,594374.84,959709,248.28,sit amet,2024-09-03T20:23:47Z,2024-11-21T21:17:43Z,3414.58,6500.13,9178.16,2691.85,7400.4,2593.3,67
68,Ethelind,Durman,2558328361761.38,2863505622937.97,3049708391959.02,4465798654691.38,19640,506,+68,506087.42,814481.77,366283.28,115617,888.73,elementum,2024-02-29T01:21:27Z,2024-08-03T00:33:14Z,124.6,7500.34,6198.98,996.75,4560.41,9785.62,68
69,Cody,Baroche,4495676322723.98,6113601393934.03,1093428412931.04,6139038017058.52,20803,684,+69,980268.5,646410.48,692873.98,470075,508.8,leo rhoncus,2024-07-27T18:19:56Z,2024-03-01T12:55:33Z,7174.08,3797.07,232.03,1972.64,2633.77,3034.07,69
70,Meade,Mordue,8487398724861.18,5528507631396.89,8706755347769.11,5646104562421.34,8868,514,+70,119298.96,761189.34,184410.66,778977,290.0,ut,2024-04-12T09:59:33Z,2024-04-08T00:48:37Z,7444.18,1269.34,2433.29,9168.07,1593.86,2540.31,70
71,Pepito,Horley,2799185805674.71,3763275495874.78,1513236015375.59,1131192267641.36,9864,332,+71,508873.91,576204.78,184946.64,978020,473.78,in sagittis,2024-12-14T04:04:29Z,2024-06-15T04:33:12Z,6673.25,8944.17,5517.29,4272.62,1387.09,5317.32,71
72,Papagena,Stych,270489874213.04,7282623105400.48,1474557928681.55,1525444369528.94,9287,821,+72,598651.12,965316.39,373985.14,531213,399.4,pellentesque quisque porta,2025-02-03T14:08:27Z,2024-07-18T10:59:40Z,2752.23,243.17,3395.84,2992.29,8619.08,7221.73,72
73,Elbertina,Geibel,7879157402092.67,7567858134694.31,9345720149051.72,8739910385169.33,18690,287,+73,444949.52,717551.33,120189.02,68780,644.87,elementum in hac,2024-07-07T07:23:57Z,2024-11-30T06:40:02Z,3227.02,8084.09,974.53,4639.06,8391.1,9980.24,73
74,Dorise,Lawlance,7944925804110.54,5589065599050.19,5592047530153.75,8553305160184.81,3202,636,+74,845887.72,673977.22,617988.15,963607,380.34,eros viverra eget,2024-07-12T20:33:40Z,2024-11-29T19:01:46Z,7092.65,6016.39,7312.27,452.48,5958.26,1847.93,74
75,Jere,Oluwatoyin,1401692859811.52,6958336645391.04,9565321982097.77,2883981855965.67,11989,558,+75,281880.01,245260.63,575094.91,67126,578.37,ligula sit amet,2025-01-01T20:20:00Z,2024-09-13T22:56:17Z,2649.75,4445.58,3966.59,4766.83,1463.58,7602.67,75
76,Peyton,Dyka,3839960890222.73,6260031084573.58,1023407471456.14,8294009531868.3,9946,181,+76,243838.95,569133.32,57419.85,661955,715.7,congue risus,2024-05-04T21:27:44Z,2024-04-18T10:41:36Z,5414.65,2525.14,1380.58,2897.78,2483.27,5728.98,76
77,Carlin,Kinnach,3753556236756.05,9162162811989.95,8394280640129.08,3097421069180.44,13261,645,+77,274120.62,126145.62,394607.87,264655,634.09,sem,2024-10-13T09:31:07Z,2024-02-18T12:49:57Z,4840.76,9642.21,8311.45,1253.83,5054.46,1411.47,77
78,Tomi,Pindred,3867851931293.53,730844543168.96,2924963847830.81,9380970131694.78,11470,331,+78,940643.65,782180.66,52097.92,415690,49.63,duis aliquam convallis,2024-12-10T17:05:46Z,2024-11-10T19:45:53Z,2430.85,8867.26,4714.6,5603.76,776.51,1047.27,78
79,Kerwin,Grinsted,5604495283487.53,8358519214255.94,1028218444144.1,6570111493812.25,18308,486,+79,513562.93,764571.09,867834.31,682341,734.64,consequat,2024-09-09T19:33:52Z,2024-05-05T03:49:54Z,6414.75,2035.22,2262.61,1008.08,1550.06,1903.02,79
80,Shaine,Cossom,2804161674873.12,1609560329370.74,1119583308399.59,9818432471586.54,1619,339,+80,972328.59,120519.01,450835.65,192174,524.67,nulla neque libero,2025-01-08T11:45:33Z,2024-07-20T12:29:07Z,9240.68,6348.79,8507.25,142.85,8734.18,5534.32,80
81,Kipp,Scamwell,5785553493128.79,3158018212075.47,9878909503553.07,2081145595796.88,16873,183,+81,726435.25,583237.73,108241.22,117551,278.66,nulla,2024-10-28T14:47:50Z,2024-07-23T15:27:57Z,9382.41,8875.73,3196.96,7836.19,9260.88,7491.67,81
82,Silvester,Wardrop,8734781293965.18,8374799067736.21,7054067317808.13,8329872167868.32,10782,757,+82,323150.59,230457.35,764887.96,837636,299.26,aliquet massa id,2024-12-21T00:30:45Z,2024-10-29T05:34:30Z,1582.0,9971.13,9586.72,8668.45,5297.52,7783.95,82
83,Krystalle,Mechell,3242955233015.48,221589302168.92,2186048882870.78,1221935123853.37,20712,567,+83,778778.89,70677.69,743699.74,550843,515.7,vestibulum eget vulputate,2024-09-16T22:28:37Z,2024-08-16T03:37:25Z,7009.57,389.6,5839.64,834.15,3553.78,7548.5,83
84,Madella,Bankes,7699504185136.85,33076791287.24,5761373306531.41,6422048911959.37,7429,663,+84,429662.29,634786.29,770523.4,652937,89.07,quis tortor,2024-04-28T08:52:16Z,2024-05-28T22:20:10Z,5733.69,145.47,6890.96,5856.73,9378.03,4981.85,84
85,Gabriello,Haddy,752051043177.19,663718172783.3,2786336538916.38,9564657318143.48,18664,118,+85,267556.34,881076.1,789880.28,661454,402.87,ultrices,2024-11-15T01:27:02Z,2024-12-24T15:59:51Z,2691.44,1984.31,7509.26,9798.84,1789.85,8513.7,85
86,Stacy,Gadsdon,3262081129908.39,545455473072.62,9732762486216.4,1515854744521.89,14246,284,+86,264987.25,755679.32,219105.65,416485,662.14,justo morbi ut,2024-06-14T11:58:41Z,2025-01-19T12:09:01Z,900.44,9167.02,3215.16,3055.1,3158.63,4802.43,86
87,Saidee,McFater,4292191076818.71,2939162975127.42,800813956687.68,533164245063.79,5710,606,+87,492158.58,75428.14,181977.28,424001,329.51,tristique est,2024-05-14T10:50:11Z,2024-07-21T02:06:39Z,9185.58,353.45,3119.22,3448.34,4788.65,7506.34,87
88,Giovanni,Comerford,8424724258551.69,3361462194582.91,1773961528142.01,2260942360528.86,4584,241,+88,796308.79,368775.33,687834.31,721216,602.23,et,2024-10-23T01:41:46Z,2024-06-19T07:35:06Z,7519.48,2725.62,7679.46,1452.52,8820.63,7565.63,88
89,Ashley,Flaherty,9905571998980.45,344347173549.63,2107153767789.62,1708695331820.65,11454,581,+89,681637.85,762769.87,961450.34,78290,878.26,nulla quisque arcu,2024-09-21T05:51:07Z,2024-12-03T11:02:47Z,9103.32,817.88,2092.92,987.43,2745.48,9637.49,89
90,Fielding,Dast,9763467577731.27,5280730998501.56,8860461781871.69,9014605949266.74,3871,750,+90,169774.9,886164.21,668055.36,375772,874.96,nec,2024-10-09T23:20:59Z,2024-05-23T23:03:11Z,4224.39,4327.81,2081.75,855.86,78.64,3601.47,90
91,Rem,Crosham,3921839288004.13,5300019144735.07,682373914771.56,1001715001385.37,903,402,+91,42433.54,213734.8,935098.4,430866,823.6,donec pharetra,2024-06-23T15:58:50Z,2024-06-07T19:18:52Z,7893.93,481.57,3408.34,6070.6,2385.38,4686.51,91
92,Ursuline,Surfleet,9973149896949.24,5397397152532.38,8582856956661.83,4764600373396.37,2038,848,+92,291160.8,858563.94,989214.46,330976,691.32,pede lobortis ligula,2024-05-24T09:22:36Z,2024-06-15T11:51:59Z,921.21,2112.73,4415.45,5794.43,7870.66,8623.28,92
93,Daisy,Port,9228776738171.38,9839879782813.06,3827483461742.93,9486323295027.37,8130,662,+93,236950.62,699230.86,21514.97,1967,386.86,pellentesque,2024-10-15T21:50:47Z,2024-08-06T22:13:31Z,6327.09,3163.33,1854.53,4138.0,1472.58,2752.82,93
94,Deane,Izen,9431785164408.9,5187979747065.04,7175833136127.78,7632518474435.68,3400,663,+94,20075.11,542203.25,20254.66,61655,50.65,platea,2024-07-12T16:36:15Z,2024-03-30T08:40:49Z,958.9,8157.05,8316.73,2960.68,661.52,9122.86,94
95,Torrance,Plowman,2465141526225.19,150078367660.25,189999053856.78,8236902852688.73,15355,988,+95,55685.76,918772.08,968579.44,241463,365.86,platea dictumst morbi,2024-10-19T00:26:37Z,2024-11-16T20:44:53Z,7982.26,6254.96,194.19,672.01,7070.32,6363.73,95
96,Joe,Cozby,6702666933287.81,4801514762499.24,118111458787.64,5290897927716.78,14019,668,+96,90790.27,213668.2,628238.39,856382,64.7,magna,2024-07-03T17:06:22Z,2024-02-19T06:19:33Z,1689.24,791.51,3154.03,1763.49,6657.2,6899.11,96
