id,nominal_capacity,nominal_energy,nominal_cycles,gravimetric_energy_density,volumetric_energy_density,industry_standard,nominal_voltage,operating_voltage,ac_resistance,max_self_discharge_rate,nominal_SOC_at_delivery,cell_weight,cell_name,cell_charging_temperature,cell_discharging_temperature,height,width,length,module_id
126,606301145,1991001421,1165161279,734596943,1311724727,Honorable,4191.31,3.83,4200005996,7785173598,6712822060,812371179.6,126,59.3,58.21,3075.19,2933.12,8956.7,126
127,1061796981,14599724,882835785,270484022,1142444231,Mrs,1191.23,3.1,5593974818,9012595239,3164840524,1422101744,127,41.17,35.08,881.39,8128.92,6950.03,127
128,1966948751,176357373,1295233066,508775345,1502461646,Dr,7894.92,2.96,4776466279,3169474393,3265803568,8357033512,128,18.31,-11.91,6426.82,8168.37,5866.91,128
129,867417465,483323547,731566355,2072806006,343001663,Mr,6200.06,4.15,1725297949,2483196149,3838978436,3216122183,129,32.22,59.64,2153.28,9214.37,2341.42,129
130,1439275295,1062085183,1850063052,505662643,143246227,Ms,793.15,0.22,9234307993,8336467505,4438971355,831752569.4,130,42.54,54.78,6240.19,7719.8,9282.56,130
131,1208826533,717657465,858437205,610130022,162575982,Dr,7370.61,1.08,9151087886,5594707555,7197740123,205014258.9,131,3.17,9.53,6735.54,9343.73,9228.91,131
132,1021501442,1340158763,1203607562,175370501,211668367,Mrs,8386.42,7.78,4629419530,3025211050,3720385107,7688716680,132,58.25,15.65,4496.57,3117.18,5346.62,132
133,453388160,430777505,2059008726,740214857,2119444224,Rev,6019.13,1.72,7609194725,1916293605,7298061329,948864684,133,24.93,59.16,464.98,2703.16,9839.69,133
134,964256948,1638154231,529786830,1416532369,1159601605,Rev,9507.1,1.35,7856589662,7943341035,8755700298,5741107235,134,49.48,-9.34,7033.33,2166.95,3417.15,134
135,520551151,1621681193,1815574225,1655873653,941303123,Honorable,5469.57,1.7,2579996883,7414627880,4953470714,4634587303,135,22.28,2.98,1232.51,1691.48,789.21,135
136,774669570,687387151,213304849,753420798,602136668,Ms,2573.37,9.29,5854613317,7651068688,1271189738,7829436492,136,37.51,43.71,1658.02,6014.25,4289.78,136
137,2065382128,568567537,777695892,263500024,910318362,Rev,4110.55,1.04,9498060962,3040085297,6546782147,1151995264,137,17.41,-14.07,243.33,3432.34,2184.06,137
138,1801284187,1546112027,1843385212,349909627,550592236,Mrs,256.62,4.07,4051938291,3830095430,5201129607,1889135165,138,15.48,19.96,4234.99,1083.07,1645.51,138
139,680761942,598301037,1937519721,658610226,1972589492,Ms,4026.1,1.47,8075420675,8932854817,3163677144,9323187533,139,0.21,-21.77,1710.15,5075.89,7903.63,139
140,1917462815,328206378,368958919,530711116,554818159,Honorable,338.33,4.11,6721215619,1854959250,9805667062,2434037244,140,44.06,52.91,6712.4,8165.4,5836.69,140
141,88362856,614142387,983315055,1617891997,1625084940,Dr,9921.54,4.52,5647766197,5790386393,8500944815,8052570407,141,4.95,-1.51,4991.12,2549.93,3043.58,141
142,1282990900,1773179123,33156619,1326440385,26218699,Dr,4653.54,7.66,6707311344,7432505551,6909943091,3518616326,142,17.14,-16.68,8111.23,9237.96,4808.47,142
143,241249315,1226868110,63703076,722178535,176378600,Dr,3548.58,0.79,7702417420,5322467344,8207207647,291265865.6,143,9.46,31.02,2763.26,3986.13,6292.17,143
144,1811891836,1412386881,1896135488,1601001469,1377722183,Mr,6576.89,0.48,176456603.7,6302550868,968934781.3,739253570.9,144,39.72,10.4,2629.1,9239.86,3067.41,144
145,661102456,726692548,1040008336,1617071904,268764241,Ms,3691.57,4.34,5042476730,3781718824,5772775732,9517979464,145,16.11,-26.9,8179.67,1103.38,6825.52,145
146,357223946,404137303,581657714,160002496,404813852,Dr,6846.74,7.28,3425161362,3943293014,9208138102,3109590710,146,3.23,18.48,1540.89,9012.53,2165.03,146
147,1076511039,1793001266,515574909,1432202750,1824882307,Ms,4688.07,0.99,3113628549,6105838887,7301374807,4490660677,147,6.87,52.5,7011.61,7319.41,4126.45,147
148,400068436,807264736,1723481905,1197047607,1933156900,Honorable,4823.89,3.87,267647579.6,3389579514,5014556570,3588821744,148,23.24,-19.93,5931.82,7384.81,1040.43,148
149,430445525,1432051476,1916073434,727902404,380460937,Rev,2799.47,7.46,7442830070,897598395.1,3367510233,9132933044,149,28.29,-24.68,9089.35,1556.82,9101.32,149
150,1448046218,1186883968,1672095570,1665185735,2007438348,Ms,8411.99,0.13,359762462.8,6476114394,4604614422,1822504635,150,45.93,-13.39,3473.99,3110.39,2215.97,150
151,2008276868,2044596071,1939542258,1436840138,685673953,Mr,8437.32,2.49,3504291572,3882534814,1216683195,3985810977,151,5.44,-4.66,9625.02,1177.49,6339.4,151
152,1611648943,756952631,1169158512,180615481,1993608433,Rev,8128.42,3.92,1849722949,7646912865,3048602621,4535606315,152,17.19,44.37,9370.73,593.75,2977.81,152
153,49182187,883991290,1348798016,770185707,945110516,Honorable,6653.65,9.16,4270472621,3546871645,6492666687,6096963577,153,32.65,-22.28,6217.63,1431.32,5130.24,153
154,273617010,755893900,805875617,1512373534,703568375,Mr,7422.06,2.46,9963160438,2173173671,8462760216,4061928385,154,49,-28.64,560.35,6775.65,5832.32,154
155,1776464608,1151522690,574793625,1311321640,766908852,Mr,1652.67,4.2,7209742846,5286359100,8424953042,6249941214,155,12.78,55.25,498.13,9045.68,2607.19,155
156,1475130768,864360880,1340174799,284334878,1522992879,Rev,6842.85,6.27,3360488668,9816353047,6643179781,6473418883,156,52.78,2.21,7564.34,8461.85,1849.88,156
157,1956542041,82290837,1836339055,519574856,1286742756,Mr,8240.72,3.21,4989079932,3284101271,2362631878,5602434685,157,21.29,20.44,2410.95,3917.7,4849.85,157
158,1102043746,1883096685,411020470,363242976,2012361851,Dr,7205.1,3.63,6723301294,608580789.8,6469259382,532785140.2,158,50.86,51.3,1978.83,9648.3,4936.86,158
159,1308863272,178162732,669041384,996374394,883839870,Dr,308.95,9.66,6053729032,7354652763,1384289487,8407410144,159,3.28,46.35,6648.23,3267.59,8747.5,159
160,957627042,1300782472,1097619819,1178464280,1899441442,Rev,5383.15,5.66,9325983503,4189487580,2830886096,9847505661,160,25.53,-11.25,5450.45,8364.4,9710.62,160
161,1244364434,650718425,1321268560,1480977795,889975345,Mr,8407.43,2.22,7924073562,9378123628,7323379718,4257680135,161,30.17,-24.99,9039.28,4089.25,7982.02,161
